word_original,synset,senses,definitions
angle,bn:00004117n,"['nurk', 'Nurk']","['Nurk on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.']"
ant,bn:00004458n,"['sipelgas', 'sipelglased', 'Sipelglased']",['Sipelglased on ühiseluliste putukate sugukond kiletiivaliste seltsist.']
apple,bn:00005054n,['õun'],"['Õun on õunapuu vili, botaanilises mõttes õunvili.']"
arch,bn:00005387n,"['Kaar', 'kaar']","['Kaar on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', 'Arhitektuuris painutatud joon või pind kahe tugipunkti vahel, mis sildab nendevahelise avause, ehituses kõvera varda kujuline tasandiline sildetarind.']"
arm,bn:00005704n,"['relv', 'Relv']","['Relv on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.']"
army,bn:00005732n,"['relvajõud', 'sõjavägi']","['Sõjavägi on enamasti riiklikult korraldatud relvastatud organisatsioon, mille põhieesmärgiks on olla sõjaliseks toeks riigi julgeoleku-, välis- ja kaitsepoliitikale ning sealhulgas kaitsta riigi territoriaalset terviklikkust võimalike rünnete vastu.', 'riiklikult korraldatud relvastatud organisatsioon']"
baby,bn:00007630n,"['väikelaps', 'beebi', 'Imik', 'imik']",['Imik ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.']
ball,bn:00008804n,['pesapall'],"['Pesapall on võistkondlik sportmäng, milles osalevad kaks 9-liikmelist võistkonda, kes tegutsevad vaheldumisi ründajate ja kaitsjatena.']"
band,bn:00008287n,['sõrmus'],['Sõrmus on enamasti metallist rõnga- või spiraalikujuline sõrmeehe.']
basin,bn:00071766n,"['kraanikauss', 'bassein', 'Bassein', 'valamu']","['Bassein on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.']"
basket,bn:00008872n,"['korv', 'Korv']","['Korv oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.']"
bath,bn:00008995n,['vannituba'],"['Vannituba on inimese eluruumides paiknev ruum, kus on pesemiseks mõeldud vann.']"
bed,bn:00009472n,['voodi'],"['Voodi on magamiseks mõeldud mööbliese.', 'magamiseks mõeldud mööbliese']"
berry,bn:00010066n,['mari'],"['Mari on lihakvili, mis sisaldab arvukalt seemneid.', 'Taimede viljade tüüp.']"
bird,bn:00010605n,"['lind', 'linnud']","['Linnud on keelikloomade klass selgroogsete alamhõimkonnast, kellele on iseloomulik võime aktiivselt lennata, nende keha on kaetud sulgedega ja esijäsemed on moondunud tiibadeks.']"
blade,bn:00011081n,['mõõk'],"['Mõõk on ühe- või mitmeteraline löögi- ja torkerelv, mida kasutati tavaliselt lähivõitluses.']"
board,bn:00021015n,"['komitee', 'komisjon']","['Komisjon on alaliselt või ajutiselt moodustatud mitmest isikust koosnev organ, mis on loodud selleks, et täita mingeid ülesandeid või valmistada ette otsustamisele tulevaid küsimusi.']"
boat,bn:00011674n,['paat'],['Paat on õõnsa ja pealt vähemalt osaliselt avatud kerega ning tavaliselt kajutita lihtsam väiksem veesõiduk.']
bone,bn:00011999n,"['kont', 'luu']","['Luud ehk kondid on luukalade, kahepaiksete, roomajate, lindude ja imetajate luustikku kuuluvad kõvad, veidi elastsed, värskes olekus kollakasvalged elundid.']"
book,bn:00012059n,['raamat'],"['Raamat on köidetud kogu teksti või piltidega lehti; ehk ka kogum ühest servast kokku liidetud, tavaliselt ühesuurusi ja ristkülikukujulisi paberilehti, millel asub nähtaval või kombataval kujul märkidest koosnev tekst.']"
boot,bn:00012166n,"['Saabas', 'saabas']","['Saabas on pika säärega jalanõu.', 'säärega jalavari']"
bottle,bn:00012339n,['pudel'],"['Pudel on korgiga suletav anum, mille ülaosa on tunduvalt kitsam kui alaosa.']"
boy,bn:00012569n,['poiss'],"['Poiss ehk poisslaps ehk poeglaps on meessoost laps.', 'Meessoost laps.', 'meessoost laps']"
brain,bn:00012681n,"['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim']","['Nous on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', 'Vaim on vaimufilosoofias vaimunähtuste kogum.', 'Psüühika on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.']"
brake,bn:00012710n,"['pidur', 'Pidur']","['Pidur on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.']"
branch,bn:00029676n,"['ökonoomika', 'majandusteadus', 'Poliitiline ökonoomia', 'poliitiline ökonoomia']","['Poliitiline ökonoomia ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', 'Majandusteadus on sotsiaalteadus, mille eesmärk on majandusagentide käitumise ning üldisemas mõttes majandusnähtuste kirjeldamine, mõõtmine, seletamine ning ennustamine.', 'sotsiaalteadus, mille eesmärk on kirjeldada, seletada ja ennustada majandusagentide käitumist ning majandusnähtusi']"
brick,bn:00013047n,['tellis'],['Tellis ehk telliskivi on ehitusel kasutatav väike üldiselt risttahukakujuline ehituskivi.']
bridge,bn:00013077n,['sild'],"['Sild on insenertehniline ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse.', 'Ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse']"
brush,bn:00013489n,"['Hari', 'hari', 'pintsel']","['Hari on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.']"
bucket,bn:00013590n,"['Ämber', 'pang', 'ämber']","['Ämber, varem ka pang, on pealt lahtine või kaanega, üldjuhul sangaga metallist, plastikust või puidust anum vedelike vm ainete kandmiseks, ammutamiseks või hoidmiseks.', 'sangaga pealt lahtine anum']"
bulb,bn:00013745n,"['pirn', 'elektripirn', 'lamp', 'Elektervalgustus', 'elektervalgustus', 'hõõglamp']","['Elektervalgustus on elektrit kasutav valgustus.', 'Hõõglamp on lamp, milles valgust tekitab elektrivooluga kuumutatav hõõgniit.']"
button,bn:00014305n,"['Nööp', 'nööp']","['Nööp on väike kinnitusvahend, tavaliselt rõivastel, aga ka mujal.']"
cake,bn:00014609n,"['Kook', 'kook']","['Kook on väike, harilikult mitte ümmargune, ühekihiline, kaunistusteta tort.']"
camera,bn:00015008n,"['kaamera', 'fotoaparaat', 'Kaamera']","['Fotoaparaat ehk fotokaamera on seade pildistamiseks, see tähendab eseme kujutise jäädvustamiseks valgustundliku materjali või valgustundliku elektroonilise elemendi abil.', 'Kaamera on fototehniline aparaat, mis võimaldab andmekandjal saada üksikpilte või/ja liikuvaid pilte.']"
cart,bn:00016292n,['kaarik'],"['Kaarik on kahe rattaga vanker, mida kasutati veo- ja sõiduvahendina.', 'kahe rattaga vanker']"
carriage,bn:00016241n,"['raudteesõiduk', 'tõld', 'Tõld']",['Tõld on endisaegne neljarattaline vedrustusega ja üleni kinnine hobuveok.']
cat,bn:00016606n,['kass'],"['Kass ehk kodukass on kaslaste sugukonna kassi perekonda kuuluv väike kiskja, kaslaste hulgas ainus koduloom.', 'Kodustatud kaslane']"
cheese,bn:00018038n,"['juust', 'sõir']","['Juust on valgu- ja rasvarikas toiduaine, mida valmistatakse lehma-, kodukitse- või lambapiimast, -lõssist, -koorest, -petist või nende segust piimhappebakteritest juuretise lisamise, kalgendamise ning saadud kalgendist vadaku eraldamise teel.']"
chest,bn:00018208n,"['Kirst', 'kirst']","['Kirst on etnograafias kaanega laudkast, mida kasutati riiete, relvade, toiduainete või väärtesemete hoidmiseks.', 'Kaanega laudkast, mida kasutatakse riiete, relvade, toiduainete või väärtesemete hoidmiseks.']"
chin,bn:00018426n,"['lõug', 'Lõug']","['Lõug on näo alumine osa, alahuulest allpool.']"
church,bn:00018995n,['kirik'],"['Kirik on kristlik pühakoda – hoone, kus toimuvad jumalateenistused.', 'kristlik kirikuhoone']"
circle,bn:00019169n,"['ringjoon', 'ring']",['Ringjooneks nimetatakse elementaargeomeetrias tasandi antud punktist kindlal positiivsel kaugusel olevate selle tasandi punktide hulka.']
clock,bn:00019887n,['kell'],"['Kell on seade aja mõõtmiseks.Kell on üks vanemaid leiutisi, mis on loodud selleks, et mõõta aega ja/või pidada arvet ajavahemike kohta, mis on väiksemad kui looduslikud ühikud – ööpäev, sünoodiline kuu või aasta.', 'Seade aja mõõtmiseks.']"
cloud,bn:00020002n,"['pilv', 'Pilv']","['Pilv on atmosfääris veeauru kondenseerumisel tekkinud hõljuvate väga väikeste veetilkade või jääkristallide nähtav kogum.', 'lendav vesi, atmosfäärinähtus']"
collar,bn:00005136n,['Vahistamine'],"['Vahistamine ehk arreteerimine on inimeselt liikumisvabaduse võtmine, tavaliselt seoses uurimisega, sooviga vältida edasisi õigusrikkumisi ja anda vahistatu üle kriminaalkohtusüsteemile.']"
comb,bn:00020849n,['kamm'],"['Kamm on piidega ese, mida kasutatakse juuste korrastamiseks, juuste ja peanaha puhastamiseks või soengu kinnitamiseks.']"
cord,bn:00022592n,['Velvet'],"['Velvet ehk pesusamet on karustusega kangaste hulka kuuluv puuvillane kangas, mille karustus kulgeb pinnal reljeefsete pikitriipudena.']"
cow,bn:00012273n,"['veised', 'veis']",['Koduveis on loomaliik või alamliik veise perekonnast; üks levinumaid koduloomi.']
cup,bn:00024410n,"['Klaas', 'Tass', 'tass', 'klaas']","['Klaas on eesti keeles käibiv nimetus klaasist valmistatud jooginõu kohta, mis on erinevalt tassist ja kruusist reeglina kõrvata.', 'Tass on enamasti sangaga varustatud väiksem jooginõu.']"
curtain,bn:00024534n,"['eesriie', 'kardin', 'Kardin']","['Kardin ehk eesriie on rippuv riidest kate, millega varjatakse akna- või läbipaistva ukse ava või tekitatakse eraldatud ruum.']"
cushion,bn:00024564n,['amortisaator'],['Amortisaator on tõuke- või löögileevendi.']
dog,bn:00015267n,"['koer', 'Canis lupus familiaris']","['Koer ehk kodukoer on hundi alamliik või koera perekonna liik, mille inimesed on kodustanud.', 'kodususi']"
door,bn:00028247n,['uks'],"['Uks on tarind, mille abil saab hoonesse või ruumi sissepääsu ja sellest väljapääsu võimaldamiseks mõeldud ava sulgeda.', 'tarind, mis katab sissepääsu ja võimaldab seda sulgeda']"
