word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,['कोण'],"['""यदि कोई रेखा अपने एक सिरे को स्थिर रखकर घूमती हुई अपनी स्थिति में परिवर्तन करती है, तो रेखा के परिक्रमण की माप को कोण कहते है।']","[('""यदि कोई रेखा अपने एक सिरे को स्थिर रखकर घूमती हुई अपनी स्थिति में परिवर्तन करती है, तो रेखा के परिक्रमण की माप को ___ कहते है।', ('कोण',))]","[('""यदि कोई रेखा अपने एक सिरे को स्थिर रखकर घूमती हुई अपनी स्थिति में परिवर्तन करती है, तो रेखा के परिक्रमण की माप को ___ कहते है।', ('कोण',))]",[]
ant,bn:00004458n,['चींटी'],"['चींटी या पिपीलिका एक है, जो फ़ोरमिसिडाए नामक जीववैज्ञानिक कुल में वर्गीकृत है।']",[],"[('___ या पिपीलिका एक है, जो फ़ोरमिसिडाए नामक जीववैज्ञानिक कुल में वर्गीकृत है।', ('चींटी',))]",[]
apple,bn:00005054n,['सेब'],"['सेब एक फल है।', 'सेब पेड़ का फल']","[('___ पेड़ का फल', ('सेब',)), ('___ एक फल है।', ('सेब',))]","[('___ पेड़ का फल', ('सेब',)), ('___ एक फल है।', ('सेब',))]",[]
arch,bn:00005387n,['चाप'],['वास्तुशिल्प में चाप या मेहराब वृत्त के चाप की सी संरचना को कहते हैं जो दो आलम्बों के बीच की दूरी को पाटता है तथा अपने ऊपर भार वहन करता है।'],"[('वास्तुशिल्प में ___ या मेहराब वृत्त के ___ की सी संरचना को कहते हैं जो दो आलम्बों के बीच की दूरी को पाटता है तथा अपने ऊपर भार वहन करता है।', ('चाप',))]","[('वास्तुशिल्प में ___ या मेहराब वृत्त के ___ की सी संरचना को कहते हैं जो दो आलम्बों के बीच की दूरी को पाटता है तथा अपने ऊपर भार वहन करता है।', ('चाप',))]",[]
army,bn:00005732n,"['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']",['[[चित्र:52nd-Sikh-Regiment Soldiers.jpg|'],[],[],['[[चित्र:52nd-Sikh-Regiment Soldiers.jpg|']
baby,bn:00007630n,"['बच्चा', 'शिशु']",['शिशु पृथ्वी पर किसी भी मानव की सबसे पहली अवस्था है।'],[],"[('___ पृथ्वी पर किसी भी मानव की सबसे पहली अवस्था है।', ('शिशु', 'बच्चा'))]",[]
ball,bn:00008804n,['बेसबॉल'],['बेसबॉल एक बल्ले एवं गेंद से खेले जाना वाला अमरीकी खेल है।'],"[('___ एक बल्ले एवं गेंद से खेले जाना वाला अमरीकी खेल है।', ('बेसबॉल',))]","[('___ एक बल्ले एवं गेंद से खेले जाना वाला अमरीकी खेल है।', ('बेसबॉल',))]",[]
band,bn:00008287n,"['अँगूठी', 'छल्ला', 'अंगूठी']",['अंगूठी एक गहना है और उंगली में पहना जा सकता है।'],[],"[('___ एक गहना है और उंगली में पहना जा सकता है।', ('अंगूठी', 'अँगूठी', 'छल्ला'))]",[]
bed,bn:00009472n,"['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['पलंग एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।', 'एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।']","[('___ एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।', ('पलंग', 'बिस्तर', 'बिछोना', 'बिछौना', 'शय्या'))]","[('___ एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।', ('पलंग', 'बिस्तर', 'बिछोना', 'बिछौना', 'शय्या'))]",['एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।']
bell,bn:00009728n,"['घंटी', 'द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी']",['द्वारघण्टी एक संकेतन उपकरण है जिसे प्रायः किसी भवन के प्रवेश द्वार के कपाट के निकट रखा जाता है।'],[],"[('___ एक संकेतन उपकरण है जिसे प्रायः किसी भवन के प्रवेश द्वार के कपाट के निकट रखा जाता है।', ('द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी', 'घंटी'))]",[]
bird,bn:00010605n,"['चिड़िया', 'पक्षी', 'Aves']",['पंख वाले या उड़ने वाले किसी भी जन्तु को पक्षी कहा जाता है।'],[],"[('पंख वाले या उड़ने वाले किसी भी जन्तु को ___ कहा जाता है।', ('पक्षी', 'चिड़िया', 'Aves'))]",[]
blade,bn:00011081n,"['तलवार', 'शमशेर']",['तलवार या तरवारि एक धारदार शस्त्र है जो कर्तन या आक्रमण के लिए प्रयुक्त होता है।'],"[('___ या तरवारि एक धारदार शस्त्र है जो कर्तन या आक्रमण के लिए प्रयुक्त होता है।', ('तलवार', 'शमशेर'))]","[('___ या तरवारि एक धारदार शस्त्र है जो कर्तन या आक्रमण के लिए प्रयुक्त होता है।', ('तलवार', 'शमशेर'))]",[]
