word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['The space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians', 'The space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians', 'In Euclidean geometry, an angle is the figure formed by two rays, called the sides of the angle, sharing a common endpoint, called the vertex of the angle.', 'Figure formed by two rays or a measure of rotation.', 'Having an angle or angles', 'two of four angles formed by two intersecting lines whose sides are different from one another', 'Something that is formed when two rays meet at a single or same point', 'Two angles that share a common ray', 'A figure formed by two rays which start from a common point (a plane angle) or by three planes that intersect (a solid angle).', 'Either of a pair of angles that share a common side.', 'A figure formed by two rays which start from a common point (a plane angle) or by three planes that intersect (a solid angle).']","[('In Euclidean geometry, an ___ is the figure formed by two rays, called the sides of the ___, sharing a common endpoint, called the vertex of the ___.', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('A figure formed by two rays which start from a common point (a plane ___) or by three planes that intersect (a solid ___).', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('Having an ___ or angles', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle'))]","[('In Euclidean geometry, an ___ is the figure formed by two rays, called the sides of the ___, sharing a common endpoint, called the vertex of the ___.', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('A figure formed by two rays which start from a common point (a plane ___) or by three planes that intersect (a solid ___).', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('two of four ___s formed by two intersecting lines whose sides are different from one another', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('Either of a pair of ___s that share a common side.', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('Two ___s that share a common ray', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle')), ('Having an ___ or ___s', ('angle', 'vertically opposite angle theorem', 'supplementary angles', 'Complementary angles', 'vertical angles', 'adjacent angle'))]","['The space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians', 'Something that is formed when two rays meet at a single or same point', 'Figure formed by two rays or a measure of rotation.']"
ant,bn:00004458n,"['ant', 'emmet', 'pismire', 'Formicidae']","['Social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers', 'Social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers', 'Ants are eusocial insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera.', 'Eusocial insect that belongs to the same order as wasps and bees.', 'Family of insects', 'Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.', 'Any of various insects in the family Formicidae in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.']","[('Any of various insects in the family ___ in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.', ('Formicidae', 'pismire', 'emmet', 'ant')), ('Any of the black, red, brown, or yellow insects of the family ___ characterized by a large head and by living in organized colonies.', ('Formicidae', 'pismire', 'emmet', 'ant')), ('Ants are eusocial insects of the family ___ and, along with the related wasps and bees, belong to the order Hymenoptera.', ('Formicidae', 'pismire', 'emmet', 'ant'))]","[('Any of various insects in the family ___ in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females.', ('Formicidae', 'pismire', 'emmet', 'ant')), ('Any of the black, red, brown, or yellow insects of the family ___ characterized by a large head and by living in organized colonies.', ('Formicidae', 'pismire', 'emmet', 'ant')), ('Ants are eusocial insects of the family ___ and, along with the related wasps and bees, belong to the order Hymenoptera.', ('Formicidae', 'pismire', 'emmet')), ('___s are eusocial insects of the family Formicidae and, along with the related wasps and bees, belong to the order Hymenoptera.', ('ant', 'pismire', 'emmet'))]","['Social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers', 'Eusocial insect that belongs to the same order as wasps and bees.', 'Family of insects']"
apple,bn:00005054n,"['apple peel', 'apple']","['Fruit with red or yellow or green skin and sweet to tart crisp whitish flesh', 'Fruit with red or yellow or green skin and sweet to tart crisp whitish flesh', 'An apple is a round, edible fruit produced by an apple tree.', 'Edible fruit.', 'Fruit of the apple tree', 'The peel of an apple.', 'The popular, crisp, round fruit of the apple tree, usually with red, yellow or green skin, light-coloured flesh and pips inside.', 'Any of various tree-borne fruits or vegetables especially considered as resembling an apple; also (with qualifying words) used to form the names of other specific fruits such as custard apple, rose apple, thorn apple etc.']","[('Any of various tree-borne fruits or vegetables especially considered as resembling an ___; also (with qualifying words) used to form the names of other specific fruits such as custard ___, rose ___, thorn ___ etc.', ('apple', 'apple peel')), ('The popular, crisp, round fruit of the ___ tree, usually with red, yellow or green skin, light-coloured flesh and pips inside.', ('apple', 'apple peel')), ('An ___ is a round, edible fruit produced by an ___ tree.', ('apple', 'apple peel')), ('Fruit of the ___ tree', ('apple', 'apple peel')), ('The peel of an ___.', ('apple', 'apple peel'))]","[('Any of various tree-borne fruits or vegetables especially considered as resembling an ___; also (with qualifying words) used to form the names of other specific fruits such as custard ___, rose ___, thorn ___ etc.', ('apple', 'apple peel')), ('The popular, crisp, round fruit of the ___ tree, usually with red, yellow or green skin, light-coloured flesh and pips inside.', ('apple', 'apple peel')), ('An ___ is a round, edible fruit produced by an ___ tree.', ('apple', 'apple peel')), ('Fruit of the ___ tree', ('apple', 'apple peel')), ('The peel of an ___.', ('apple', 'apple peel'))]","['Fruit with red or yellow or green skin and sweet to tart crisp whitish flesh', 'Edible fruit.']"
arch,bn:00005387n,['arch'],"['(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it', '(architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it', 'An arch is a vertical curved structure that spans an elevated space and may or may not support the weight above it, or in case of a horizontal arch like an arch dam, the hydrostatic pressure against it.', 'Curved structure capable of spanning a space while supporting significant weight.', 'Vertical curved structure that spans a space and may or may not support a load', 'An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.', 'An architectural element having the shape of an arch.', 'Architectural element.']","[('An ___ is a vertical curved structure that spans an elevated space and may or may not support the weight above it, or in case of a horizontal ___ like an ___ dam, the hydrostatic pressure against it.', ('arch',)), ('An ___-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.', ('arch',)), ('An architectural element having the shape of an ___.', ('arch',))]","[('An ___ is a vertical curved structure that spans an elevated space and may or may not support the weight above it, or in case of a horizontal ___ like an ___ dam, the hydrostatic pressure against it.', ('arch',)), ('(___itecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it', ('arch',)), ('An ___-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.', ('arch',)), ('An ___itectural element having the shape of an ___.', ('arch',)), ('___itectural element.', ('arch',))]","['Curved structure capable of spanning a space while supporting significant weight.', 'Vertical curved structure that spans a space and may or may not support a load']"
arm,bn:00005704n,"['weapon', 'weapon system', 'arm']","['Any instrument or instrumentality used in fighting or hunting', 'Any instrument or instrumentality used in fighting or hunting', 'A weapon, arm, or armament is any implement or device that is used to deter, threaten, inflict physical damage, harm, or kill.', 'Tool for hunting or fighting.', 'Tool used to inflict damage or harm', 'An instrument of attack or defense in combat, as a gun, missile, or sword.', 'An instrument of attack or defense in combat or hunting, e.g. most guns, missiles, or swords.', 'Instrument of attack or defense in combat.']","[('A ___, arm, or armament is any implement or device that is used to deter, threaten, inflict physical damage, harm, or kill.', ('weapon', 'weapon system')), ('A weapon, ___, or armament is any implement or device that is used to deter, threaten, inflict physical damage, harm, or kill.', ('arm', 'weapon system'))]","[('A ___, arm, or armament is any implement or device that is used to deter, threaten, inflict physical damage, harm, or kill.', ('weapon', 'weapon system')), ('A weapon, ___, or ___ament is any implement or device that is used to deter, threaten, inflict physical damage, harm, or kill.', ('arm', 'weapon system'))]","['An instrument of attack or defense in combat or hunting, e.g. most guns, missiles, or swords.', 'An instrument of attack or defense in combat, as a gun, missile, or sword.', 'Any instrument or instrumentality used in fighting or hunting', 'Instrument of attack or defense in combat.', 'Tool used to inflict damage or harm', 'Tool for hunting or fighting.']"
army,bn:00005732n,"['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine']","['The military forces of a nation', 'The military forces of a nation', 'The Military, also known collectively as the armed forces, are heavily armed, highly organized forces primarily intended for warfare.', ""Collective organization of a country's armed military and paramilitary"", 'Organization primarily tasked with preparing for and conducting war', 'The military units of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines.', 'An organised group of people that exerts power in order to maintain or take control over other people; such as a military force or a police force.', 'Armed forces.', 'Armed forces.', 'The military resources of a belligerent country considered as a whole.', 'Resources.']","[('An organised group of people that exerts power in order to maintain or take control over other people; such as a ___ or a police force.', ('military force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('An organised group of people that exerts power in order to maintain or take control over other people; such as a ___ force or a police force.', ('military', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('An organised group of people that exerts power in order to maintain or take control over other people; such as a military ___ or a police ___.', ('force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The ___ units of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines.', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The military units of a state, typically divided by their differing contexts of operations, such as the army, navy, air ___ and marines.', ('force', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The Military, also known collectively as the ___, are heavily armed, highly organized forces primarily intended for warfare.', ('armed forces', 'military machine', 'military force', 'armed services', 'military unit', 'war machine', 'force')), ('The ___, also known collectively as the armed forces, are heavily armed, highly organized forces primarily intended for warfare.', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'war machine', 'force')), (""Collective organization of a country's armed ___ and paramilitary"", ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine', 'force')), ('The ___ resources of a belligerent country considered as a whole.', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine', 'force')), ('The ___ forces of a nation', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine', 'force')), ('___.', ('armed forces', 'military machine', 'military force', 'armed services', 'military unit', 'war machine', 'military', 'force'))]","[('An organised group of people that exerts power in order to maintain or take control over other people; such as a ___ or a police force.', ('military force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('An organised group of people that exerts power in order to maintain or take control over other people; such as a ___ force or a police force.', ('military', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('An organised group of people that exerts power in order to maintain or take control over other people; such as a military ___ or a police ___.', ('force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The ___s of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines.', ('military unit', 'military machine', 'military force', 'armed services', 'armed forces', 'war machine')), ('The ___ units of a state, typically divided by their differing contexts of operations, such as the army, navy, air force and marines.', ('military', 'military machine', 'military force', 'armed services', 'armed forces', 'war machine')), ('The military units of a state, typically divided by their differing contexts of operations, such as the army, navy, air ___ and marines.', ('force', 'military machine', 'military force', 'armed services', 'armed forces', 'war machine')), ('The Military, also known collectively as the ___, are heavily armed, highly organized forces primarily intended for warfare.', ('armed forces', 'military machine', 'military force', 'armed services', 'military unit', 'war machine')), ('The ___, also known collectively as the armed forces, are heavily armed, highly organized forces primarily intended for warfare.', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'war machine')), ('The Military, also known collectively as the armed ___s, are heavily armed, highly organized ___s primarily intended for warfare.', ('force', 'military machine', 'military force', 'armed services', 'military unit', 'war machine')), (""Collective organization of a country's armed ___ and paramilitary"", ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine', 'force')), ('The ___ resources of a belligerent country considered as a whole.', ('military', 'military machine', 'military force', 'armed services', 'military unit', 'armed forces', 'war machine', 'force')), ('The ___s of a nation', ('military force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The ___ forces of a nation', ('military', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('The military ___s of a nation', ('force', 'military machine', 'armed services', 'military unit', 'armed forces', 'war machine')), ('___.', ('armed forces', 'military machine', 'military force', 'armed services', 'military unit', 'war machine', 'military')), ('Armed ___s.', ('force', 'military machine', 'military force', 'armed services', 'military unit', 'war machine', 'military'))]","['Organization primarily tasked with preparing for and conducting war', 'Resources.']"
baby,bn:00007630n,"['baby', 'infaneto', 'infant', 'babe']","['A very young child (birth to 1 year) who has not yet begun to walk or talk', 'A very young child (birth to 1 year) who has not yet begun to walk or talk', 'An infant or baby is the very young offspring of human beings.', 'A very young human being, from birth to a year old.', 'A young child in the first years of life. ', 'A baby or infant; a very young human or animal.', 'A very young human, particularly from birth to a couple of years old or until walking is fully mastered.', 'A very young human being, from birth to somewhere between six months and two years of age, needing almost constant care and/or attention.', 'Very young human being.']","[('An ___ or baby is the very young offspring of human beings.', ('infant', 'infaneto', 'babe')), ('An infant or ___ is the very young offspring of human beings.', ('baby', 'infaneto', 'babe')), ('A baby or ___; a very young human or animal.', ('infant', 'infaneto', 'babe')), ('A ___ or infant; a very young human or animal.', ('baby', 'infaneto', 'babe'))]","[('An ___ or baby is the very young offspring of human beings.', ('infant', 'infaneto', 'babe')), ('An infant or ___ is the very young offspring of human beings.', ('baby', 'infaneto', 'babe')), ('A baby or ___; a very young human or animal.', ('infant', 'infaneto', 'babe')), ('A ___ or infant; a very young human or animal.', ('baby', 'infaneto', 'babe'))]","['A very young human being, from birth to somewhere between six months and two years of age, needing almost constant care and/or attention.', 'A very young human, particularly from birth to a couple of years old or until walking is fully mastered.', 'A very young child (birth to 1 year) who has not yet begun to walk or talk', 'A very young human being, from birth to a year old.', 'A young child in the first years of life. ', 'Very young human being.']"
bag,bn:00007925n,"['purse', 'bag', 'handbag', 'pocketbook']","['A container used for carrying money and small personal items or accessories (especially by women)', 'A container used for carrying money and small personal items or accessories (especially by women)', 'A handbag, commonly known as a purse in North American English, is a handled medium-to-large bag used to carry personal items.', 'A object used for carrying money and small personal items or accessories (especially by women).', 'A small bag used by women (or sometimes by men) for carrying various small personal items.', 'A handbag (small bag usually used by women for carrying various small personal items).', 'Small bag for carrying personal items.']","[('A ___, commonly known as a purse in North American English, is a handled medium-to-large bag used to carry personal items.', ('handbag', 'pocketbook')), ('A handbag, commonly known as a ___ in North American English, is a handled medium-to-large bag used to carry personal items.', ('purse', 'pocketbook')), ('A handbag, commonly known as a purse in North American English, is a handled medium-to-large ___ used to carry personal items.', ('bag', 'pocketbook')), ('A small ___ used by women (or sometimes by men) for carrying various small personal items.', ('bag', 'pocketbook', 'handbag', 'purse')), ('A ___ (small bag usually used by women for carrying various small personal items).', ('handbag', 'pocketbook', 'purse')), ('A handbag (small ___ usually used by women for carrying various small personal items).', ('bag', 'pocketbook', 'purse')), ('Small ___ for carrying personal items.', ('bag', 'pocketbook', 'handbag', 'purse'))]","[('A ___, commonly known as a purse in North American English, is a handled medium-to-large bag used to carry personal items.', ('handbag', 'pocketbook')), ('A handbag, commonly known as a ___ in North American English, is a handled medium-to-large bag used to carry personal items.', ('purse', 'pocketbook')), ('A handbag, commonly known as a purse in North American English, is a handled medium-to-large ___ used to carry personal items.', ('bag', 'pocketbook')), ('A small ___ used by women (or sometimes by men) for carrying various small personal items.', ('bag', 'pocketbook', 'handbag', 'purse')), ('A ___ (small bag usually used by women for carrying various small personal items).', ('handbag', 'pocketbook', 'purse')), ('A handbag (small ___ usually used by women for carrying various small personal items).', ('bag', 'pocketbook', 'purse')), ('Small ___ for carrying personal items.', ('bag', 'pocketbook', 'handbag', 'purse'))]","['A container used for carrying money and small personal items or accessories (especially by women)', 'A object used for carrying money and small personal items or accessories (especially by women).']"
ball,bn:00008804n,"['baseball', 'baseball game', 'ball']","['A ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs', 'A ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs', 'Baseball is a bat-and-ball sport played between two teams of nine players each, taking turns batting and fielding.', 'Bat-and-ball sport played between two teams, usually of 25 players each.', 'American-originated sport in which teams compete to score runs by hitting a thrown ball and advancing around bases', 'A bat-and-ball sport played between two teams usually of nine players each.', 'A sport common in North America, the Caribbean, and Japan, in which the object is to strike a ball so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins.']","[('A sport common in North America, the Caribbean, and Japan, in which the object is to strike a ___ so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins.', ('ball', 'baseball game', 'baseball')), ('A ___ game played with a bat and ___ between two teams of nine players; teams take turns at bat trying to score runs', ('ball', 'baseball game', 'baseball')), ('___ is a bat-and-ball sport played between two teams of nine players each, taking turns batting and fielding.', ('baseball', 'baseball game')), ('Baseball is a bat-and-___ sport played between two teams of nine players each, taking turns batting and fielding.', ('ball', 'baseball game')), ('American-originated sport in which teams compete to score runs by hitting a thrown ___ and advancing around bases', ('ball', 'baseball game', 'baseball')), ('A bat-and-___ sport played between two teams usually of nine players each.', ('ball', 'baseball game', 'baseball')), ('Bat-and-___ sport played between two teams, usually of 25 players each.', ('ball', 'baseball game', 'baseball'))]","[('A sport common in North America, the Caribbean, and Japan, in which the object is to strike a ___ so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins.', ('ball', 'baseball game', 'baseball')), ('A ___ game played with a bat and ___ between two teams of nine players; teams take turns at bat trying to score runs', ('ball', 'baseball game', 'baseball')), ('___ is a bat-and-ball sport played between two teams of nine players each, taking turns batting and fielding.', ('baseball', 'baseball game')), ('Baseball is a bat-and-___ sport played between two teams of nine players each, taking turns batting and fielding.', ('ball', 'baseball game')), ('American-originated sport in which teams compete to score runs by hitting a thrown ___ and advancing around bases', ('ball', 'baseball game', 'baseball')), ('A bat-and-___ sport played between two teams usually of nine players each.', ('ball', 'baseball game', 'baseball')), ('Bat-and-___ sport played between two teams, usually of 25 players each.', ('ball', 'baseball game', 'baseball'))]",[]
band,bn:00008287n,"['ring', 'band']","['Jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger', 'Jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger', 'A ring is a round band, usually made of metal, worn as ornamental jewelry.', 'A round band, usually made of metal, worn as ornamental jewelry', 'Made of stone, or precious stones', 'Circular band worn as a type of ornamental jewellery around the finger', 'A round piece of (precious) metal worn around the finger.', ""A ring, such as a wedding ring (wedding band), or a ring put on a bird's leg to identify it."", 'A round piece of (precious) metal worn around the finger or through the ear, nose, etc.', 'Round piece of (precious) metal worn around the finger.']","[(""A ___, such as a wedding ___ (wedding band), or a ___ put on a bird's leg to identify it."", ('ring',)), (""A ring, such as a wedding ring (wedding ___), or a ring put on a bird's leg to identify it."", ('band',)), ('A ___ is a round band, usually made of metal, worn as ornamental jewelry.', ('ring',)), ('A ring is a round ___, usually made of metal, worn as ornamental jewelry.', ('band',)), ('Circular ___ worn as a type of ornamental jewellery around the finger', ('band', 'ring')), ('A round ___, usually made of metal, worn as ornamental jewelry', ('band', 'ring'))]","[(""A ___, such as a wedding ___ (wedding band), or a ___ put on a bird's leg to identify it."", ('ring',)), (""A ring, such as a wedding ring (wedding ___), or a ring put on a bird's leg to identify it."", ('band',)), ('A ___ is a round band, usually made of metal, worn as ornamental jewelry.', ('ring',)), ('A ring is a round ___, usually made of metal, worn as ornamental jewelry.', ('band',)), ('Circular ___ worn as a type of ornamental jewellery around the finger', ('band', 'ring')), ('A round ___, usually made of metal, worn as ornamental jewelry', ('band', 'ring'))]","['Jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger', 'A round piece of (precious) metal worn around the finger or through the ear, nose, etc.', 'A round piece of (precious) metal worn around the finger.', 'Round piece of (precious) metal worn around the finger.', 'Made of stone, or precious stones']"
