word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['Dos ángulos son ángulos suplementarios si suman 180.', 'Los ángulos complementarios son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ángulos complementarios son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', 'En geometría dos ángulos se dicen así nombrados cuando en un ángulo los lados son semirrectas opuestas a los del otro ángulo.', 'En geometría euclidiana, un ángulo es la figura formada por dos semirrectas, llamadas lados, que comparten un punto final común, llamado vértice.', 'Los ángulos consecutivos son aquellos que comparten un único lado común.', 'Ángulos cuya suma de medidas es π radianes o 180º.', 'Ángulos cuya suma de medidas es π/2 radianes o 90º.', 'Ángulos cuyos lados son semirrectas opuestas.', 'Porción del plano comprendida entre dos semirrectas con origen común.', 'Ángulos que tienen un lado y el vértice común.', 'Parte del plano comprendida entre dos semirrectas que tienen el mismo punto de origen o vértical', 'Figura formada por dos rayos que nacen en el mismo punto (un ángulo plano) o por la intersección de tres planos (un ángulo sólido).']","[('Los ___ son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ___ son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', ('ángulos complementarios', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ___ son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ___ son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', ('Ángulos complementarios', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ángulos complementarios son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ángulos complementarios son a su vez consecutivos, los lados no comunes de estos forman un ___ recto.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('En geometría euclidiana, un ___ es la figura formada por dos semirrectas, llamadas lados, que comparten un punto final común, llamado vértice.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Figura formada por dos rayos que nacen en el mismo punto (un ___ plano) o por la intersección de tres planos (un ___ sólido).', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('En geometría dos ángulos se dicen así nombrados cuando en un ___ los lados son semirrectas opuestas a los del otro ___.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ___ son aquellos que comparten un único lado común.', ('ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulo')), ('Los ___ son aquellos que comparten un único lado común.', ('Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulo')), ('Dos ángulos son ___ si suman 180.', ('ángulos suplementarios', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulo'))]","[('Los ___ son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ___ son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', ('ángulos complementarios', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ___ son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ___ son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', ('Ángulos complementarios', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ___s complementarios son aquellos ___s cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ___s complementarios son a su vez consecutivos, los lados no comunes de estos forman un ___ recto.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('En geometría euclidiana, un ___ es la figura formada por dos semirrectas, llamadas lados, que comparten un punto final común, llamado vértice.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Figura formada por dos rayos que nacen en el mismo punto (un ___ plano) o por la intersección de tres planos (un ___ sólido).', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('En geometría dos ___s se dicen así nombrados cuando en un ___ los lados son semirrectas opuestas a los del otro ___.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Los ___ son aquellos que comparten un único lado común.', ('ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios')), ('Los ___ son aquellos que comparten un único lado común.', ('Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios')), ('Los ___s consecutivos son aquellos que comparten un único lado común.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios')), ('Dos ángulos son ___ si suman 180.', ('ángulos suplementarios', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('Dos ___s son ___s suplementarios si suman 180.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('___s cuya suma de medidas es π/2 radianes o 90º.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('___s cuya suma de medidas es π radianes o 180º.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('___s que tienen un lado y el vértice común.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos')), ('___s cuyos lados son semirrectas opuestas.', ('ángulo', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos'))]","['Parte del plano comprendida entre dos semirrectas que tienen el mismo punto de origen o vértical', 'Porción del plano comprendida entre dos semirrectas con origen común.']"
ant,bn:00004458n,"['hormiga', 'Formicidae', 'formicidae']","['Las hormigas son una familia de insectos eusociales que, como las avispas y las abejas, pertenecen al orden de los himenópteros.', 'Familia de insectos eusociales de la orden de los himenópteros', 'Insecto negro, rojo o marrón de la familia de las formicidas que tienen una cabeza grande característica y viven en colonias organizadas.']",[],"[('Las ___s son una familia de insectos eusociales que, como las avispas y las abejas, pertenecen al orden de los himenópteros.', ('hormiga', 'Formicidae', 'formicidae'))]","['Insecto negro, rojo o marrón de la familia de las formicidas que tienen una cabeza grande característica y viven en colonias organizadas.', 'Familia de insectos eusociales de la orden de los himenópteros']"
apple,bn:00005054n,"['cáscara de manzana', 'manzana']","['La manzana o poma[1]\u200b es el fruto comestible de la especie Malus domestica, el manzano común.', 'Fruta carnosa comestible.', 'Fruto comestible del manzano', 'La cáscara de una manzana.', 'Fruta redondeada, proveniente del manzano, generalmente con la piel roja, amarilla o verde, carne de color claro y pepitas en su centro.']","[('La ___ o poma[1]\u200b es el fruto comestible de la especie Malus domestica, el manzano común.', ('manzana', 'cáscara de manzana')), ('La cáscara de una ___.', ('manzana', 'cáscara de manzana'))]","[('La ___ o poma[1]\u200b es el fruto comestible de la especie Malus domestica, el manzano común.', ('manzana', 'cáscara de manzana')), ('La cáscara de una ___.', ('manzana', 'cáscara de manzana'))]","['Fruta redondeada, proveniente del manzano, generalmente con la piel roja, amarilla o verde, carne de color claro y pepitas en su centro.', 'Fruto comestible del manzano', 'Fruta carnosa comestible.']"
arch,bn:00005387n,['arco'],"['Arco, del latín arcus, derivado del indoeuropeo arkw,[1]\u200b es el elemento constructivo de directriz en forma curvada o poligonal, que salva el espacio abierto entre dos pilares o muros transmitiendo toda la carga que soporta a los apoyos, mediante una fuerza oblicua que se denomina empuje.', 'Elemento arquitectónico que permite abrir vanos en una construcción.', 'Elemento arquitectónico', 'Arreglo de piedras de forma trapezoidal posicionadas con la forma de un arco que redistribuye hacia abajo la fuerzas que van en otras direcciones.']","[('___, del latín arcus, derivado del indoeuropeo arkw,[1]\u200b es el elemento constructivo de directriz en forma curvada o poligonal, que salva el espacio abierto entre dos pilares o muros transmitiendo toda la carga que soporta a los apoyos, mediante una fuerza oblicua que se denomina empuje.', ('arco',)), ('Arreglo de piedras de forma trapezoidal posicionadas con la forma de un ___ que redistribuye hacia abajo la fuerzas que van en otras direcciones.', ('arco',))]","[('___, del latín arcus, derivado del indoeuropeo arkw,[1]\u200b es el elemento constructivo de directriz en forma curvada o poligonal, que salva el espacio abierto entre dos pilares o muros transmitiendo toda la carga que soporta a los apoyos, mediante una fuerza oblicua que se denomina empuje.', ('arco',)), ('Arreglo de piedras de forma trapezoidal posicionadas con la forma de un ___ que redistribuye hacia abajo la fuerzas que van en otras direcciones.', ('arco',))]","['Elemento arquitectónico que permite abrir vanos en una construcción.', 'Elemento arquitectónico']"
arm,bn:00005704n,['arma'],"['Un arma es una herramienta para la caza y la autodefensa, y puede ser utilizada contra seres humanos en tareas de ataque, defensa y destrucción de fuerzas o instalaciones enemigas, o simplemente como una efectiva amenaza.', 'Herramienta o artefacto cuyo fin primario es la caza y la autodefensa.', 'Herramienta destinada a neutralizar o dañar a un ser vivo', 'Instrumento de ataque o defensa en combate, como un arma de fuego, un misil o una espada.']","[('Un ___ es una herramienta para la caza y la autodefensa, y puede ser utilizada contra seres humanos en tareas de ataque, defensa y destrucción de fuerzas o instalaciones enemigas, o simplemente como una efectiva amenaza.', ('arma',)), ('Instrumento de ataque o defensa en combate, como un ___ de fuego, un misil o una espada.', ('arma',))]","[('Un ___ es una herramienta para la caza y la autodefensa, y puede ser utilizada contra seres humanos en tareas de ataque, defensa y destrucción de fuerzas o instalaciones enemigas, o simplemente como una efectiva amenaza.', ('arma',)), ('Instrumento de ataque o defensa en combate, como un ___ de fuego, un misil o una espada.', ('arma',))]","['Herramienta o artefacto cuyo fin primario es la caza y la autodefensa.', 'Herramienta destinada a neutralizar o dañar a un ser vivo']"
army,bn:00005732n,"['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['El ejército, en sentido general, es el nombre en español que reciben las instituciones encargadas de las acciones bélicas de un Estado.', 'Las fuerzas armadas', 'Conjunto de ejércitos y fuerzas policiales de un país', 'Fuerza fuertemente armada y altamente organizada destinada principalmente a la guerra', 'Grupo organizado de personas que ejercen el poder con el fin de mantener o tomar el control de otras personas, tal como una fuerza militar o policía.']","[('Grupo organizado de personas que ejercen el poder con el fin de mantener o tomar el control de otras personas, tal como una ___ militar o policía.', ('fuerza', 'las fuerzas armadas', 'fuerzas armadas', 'ejército', 'FAS')), ('El ___, en sentido general, es el nombre en español que reciben las instituciones encargadas de las acciones bélicas de un Estado.', ('ejército', 'las fuerzas armadas', 'fuerzas armadas', 'fuerza', 'FAS')), ('___ fuertemente armada y altamente organizada destinada principalmente a la guerra', ('fuerza', 'las fuerzas armadas', 'fuerzas armadas', 'ejército', 'FAS')), ('___', ('las fuerzas armadas', 'ejército', 'fuerza', 'FAS')), ('Las ___', ('fuerzas armadas', 'ejército', 'fuerza', 'FAS'))]","[('Grupo organizado de personas que ejercen el poder con el fin de mantener o tomar el control de otras personas, tal como una ___ militar o policía.', ('fuerza', 'las fuerzas armadas', 'fuerzas armadas', 'ejército', 'FAS')), ('El ___, en sentido general, es el nombre en español que reciben las instituciones encargadas de las acciones bélicas de un Estado.', ('ejército', 'las fuerzas armadas', 'fuerzas armadas', 'fuerza', 'FAS')), ('___ fuertemente armada y altamente organizada destinada principalmente a la guerra', ('fuerza', 'las fuerzas armadas', 'fuerzas armadas', 'ejército', 'FAS')), ('Conjunto de ___s y fuerzas policiales de un país', ('ejército', 'las fuerzas armadas', 'fuerzas armadas', 'FAS')), ('Conjunto de ejércitos y ___s policiales de un país', ('fuerza', 'las fuerzas armadas', 'fuerzas armadas', 'FAS')), ('___', ('las fuerzas armadas', 'ejército', 'FAS')), ('Las ___', ('fuerzas armadas', 'ejército', 'FAS')), ('Las ___s armadas', ('fuerza', 'ejército', 'FAS'))]",[]
baby,bn:00007630n,"['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['Un bebé es un ser humano de una edad todavía muy corta, que no puede hablar ni tampoco caminar.', 'Ser humano de corta edad.', 'Ser humano muy pequeño, de entre el nacimiento y un año.', 'Niño de menos de un año.']","[('Un ___ es un ser humano de una edad todavía muy corta, que no puede hablar ni tampoco caminar.', ('bebé', 'niño de pecho', 'niña de pecho', 'lactante', 'criatura', 'infante', 'neonato', 'guagua', 'rorro', 'niño', 'niña', 'nene', 'bebe')), ('___ de menos de un año.', ('niño', 'niño de pecho', 'niña de pecho', 'lactante', 'criatura', 'infante', 'neonato', 'guagua', 'rorro', 'bebé', 'niña', 'nene', 'bebe'))]","[('Un ___ es un ser humano de una edad todavía muy corta, que no puede hablar ni tampoco caminar.', ('bebé', 'niño de pecho', 'niña de pecho', 'lactante', 'criatura', 'infante', 'neonato', 'guagua', 'rorro', 'niño', 'niña', 'nene', 'bebe')), ('___ de menos de un año.', ('niño', 'niño de pecho', 'niña de pecho', 'lactante', 'criatura', 'infante', 'neonato', 'guagua', 'rorro', 'bebé', 'niña', 'nene', 'bebe'))]","['Ser humano muy pequeño, de entre el nacimiento y un año.', 'Ser humano de corta edad.']"
bag,bn:00007925n,"['bolso', 'cartera', 'bulto', 'bolsa']","['Bolso, bolsa o bolsa de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', 'Objeto utilizado por las mujeres para transportar sus elementos personales. En Argentina, cartera.', 'Objeto utilizado para portar dinero y objetos personales pequeños o accesorios (especialmente por una mujer).']","[('___, bolsa o bolsa de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', ('bolso', 'cartera', 'bulto')), ('Bolso, ___ o ___ de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', ('bolsa', 'cartera', 'bulto')), ('Objeto utilizado por las mujeres para transportar sus elementos personales. En Argentina, ___.', ('cartera', 'bolso', 'bulto', 'bolsa'))]","[('___, bolsa o bolsa de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', ('bolso', 'cartera', 'bulto')), ('Bolso, ___ o ___ de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', ('bolsa', 'cartera', 'bulto')), ('Objeto utilizado por las mujeres para transportar sus elementos personales. En Argentina, ___.', ('cartera', 'bolso', 'bulto', 'bolsa'))]",['Objeto utilizado para portar dinero y objetos personales pequeños o accesorios (especialmente por una mujer).']
ball,bn:00008804n,"['béisbol', 'beisbol', 'baseball']","['El béisbol[2]\u200b, también llamado baseball o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', 'Deporte de origen estadounidense en el que los equipos compiten para anotar carreras golpeando una pelota lanzada y avanzando alrededor de las bases', 'Deporte con bate y pelota que se juega entre dos equipos usualmente de nueve jugadores cada uno.']","[('El béisbol[2]\u200b, también llamado ___ o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', ('baseball', 'beisbol')), ('El ___[2]\u200b, también llamado baseball o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', ('béisbol', 'beisbol'))]","[('El béisbol[2]\u200b, también llamado ___ o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', ('baseball', 'beisbol')), ('El ___[2]\u200b, también llamado baseball o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', ('béisbol', 'beisbol'))]","['Deporte de origen estadounidense en el que los equipos compiten para anotar carreras golpeando una pelota lanzada y avanzando alrededor de las bases', 'Deporte con bate y pelota que se juega entre dos equipos usualmente de nueve jugadores cada uno.']"
band,bn:00008287n,"['anillo', 'alianza', 'sortija']","['El anillo, aro o sortija es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', 'Objeto circular hecho de metal precioso que se lleva alrededor de un dedo.']","[('El anillo, aro o ___ es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', ('sortija', 'alianza')), ('El ___, aro o sortija es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', ('anillo', 'alianza'))]","[('El anillo, aro o ___ es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', ('sortija', 'alianza')), ('El ___, aro o sortija es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', ('anillo', 'alianza'))]",['Objeto circular hecho de metal precioso que se lleva alrededor de un dedo.']
