word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['Kaksi kulmaa ovat tasogeometriassa toistensa suplementtikulmat, jos kulmien summa on 180° eli oikokulman suuruinen.', 'Komplementtikulmilla tarkoitetaan tasogeometriassa kahta kulmaa, joiden summa on 90° eli suora kulma.', 'Kulma on geometriassa kahden säteen väliin jäävän tason osa.', 'kahden säteen välin jäävä taso']","[('Kaksi kulmaa ovat tasogeometriassa toistensa ___, jos kulmien summa on 180° eli oikokulman suuruinen.', ('suplementtikulmat', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'kulma', 'Kulma')), ('Kaksi kulmaa ovat tasogeometriassa toistensa ___, jos kulmien summa on 180° eli oikokulman suuruinen.', ('Suplementtikulmat', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'kulma', 'Kulma')), ('Komplementtikulmilla tarkoitetaan tasogeometriassa kahta kulmaa, joiden summa on 90° eli suora ___.', ('kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Komplementtikulmilla tarkoitetaan tasogeometriassa kahta kulmaa, joiden summa on 90° eli suora ___.', ('Kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('___ on geometriassa kahden säteen väliin jäävän tason osa.', ('kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('___ on geometriassa kahden säteen väliin jäävän tason osa.', ('Kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma'))]","[('Kaksi kulmaa ovat tasogeometriassa toistensa ___, jos kulmien summa on 180° eli oikokulman suuruinen.', ('suplementtikulmat', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Kaksi kulmaa ovat tasogeometriassa toistensa ___, jos kulmien summa on 180° eli oikokulman suuruinen.', ('Suplementtikulmat', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Kaksi ___a ovat tasogeometriassa toistensa suplementtikulmat, jos kulmien summa on 180° eli oikokulman suuruinen.', ('kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Kaksi ___a ovat tasogeometriassa toistensa suplementtikulmat, jos kulmien summa on 180° eli oikokulman suuruinen.', ('Kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Komplementtikulmilla tarkoitetaan tasogeometriassa kahta ___a, joiden summa on 90° eli suora ___.', ('kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('Komplementtikulmilla tarkoitetaan tasogeometriassa kahta ___a, joiden summa on 90° eli suora ___.', ('Kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('___ on geometriassa kahden säteen väliin jäävän tason osa.', ('kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma')), ('___ on geometriassa kahden säteen väliin jäävän tason osa.', ('Kulma', 'Komplementtikulmat', 'suplementtikulmat', 'Suplementtikulmat', 'viereinen kulma', 'vieruskulma'))]",['kahden säteen välin jäävä taso']
ant,bn:00004458n,"['muurahainen', 'muurahaiset', 'kusiainen']","['Muurahaiset ovat hyönteisten heimo.', 'Hyönteisten heimo']","[('___ ovat hyönteisten heimo.', ('muurahaiset', 'muurahainen', 'kusiainen'))]","[('___ ovat hyönteisten heimo.', ('muurahaiset', 'muurahainen', 'kusiainen'))]",['Hyönteisten heimo']
apple,bn:00005054n,['omena'],"['Omena on omenapuiden hedelmä, joka on kasvitieteellisesti pohjushedelmä.', 'Omenapuun hedelmä', 'Kirpeä, muodoltaan pyöreä omenapuun hedelmä, kuori väriltään yleensä punainen, keltainen tai vihreä, hedelmäliha vaalea, sisällä siemeniä.']","[('___ on omenapuiden hedelmä, joka on kasvitieteellisesti pohjushedelmä.', ('omena',))]","[('Kirpeä, muodoltaan pyöreä ___puun hedelmä, kuori väriltään yleensä punainen, keltainen tai vihreä, hedelmäliha vaalea, sisällä siemeniä.', ('omena',)), ('___ on ___puiden hedelmä, joka on kasvitieteellisesti pohjushedelmä.', ('omena',)), ('___puun hedelmä', ('omena',))]",[]
arch,bn:00005387n,"['holvikaari', 'Kaari', 'kaari', 'holvi']","['Kaari on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', 'Muuriaukon katerakenne', 'muurattu rakenneosa']","[('___ on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', ('Kaari', 'holvikaari', 'holvi')), ('___ on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', ('kaari', 'holvikaari', 'holvi'))]","[('___ on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', ('Kaari', 'holvikaari', 'holvi')), ('___ on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', ('kaari', 'holvikaari', 'holvi'))]","['Muuriaukon katerakenne', 'muurattu rakenneosa']"
arm,bn:00005704n,"['ase', 'astalo']","['Ase on väline, jolla voi tappaa tai vahingoittaa eläviä olentoja, ja jota yleensä käytetään taistelussa tai metsästyksessä.', 'Väline, jolla voi tappaa tai vahingoittaa']","[('___ on väline, jolla voi tappaa tai vahingoittaa eläviä olentoja, ja jota yleensä käytetään taistelussa tai metsästyksessä.', ('ase', 'astalo'))]","[('___ on väline, jolla voi tappaa tai vahingoittaa eläviä olentoja, ja jota yleensä käytetään taistelussa tai metsästyksessä.', ('ase', 'astalo'))]","['Väline, jolla voi tappaa tai vahingoittaa']"
army,bn:00005732n,"['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['Armeija tarkoittaa laajassa merkityksessä sota- tai puolustusvoimia, järjestäytyneitä aseellisia joukkoja ', 'sota- tai puolustusvoimat, järjestäytynyt aseellinen joukko']","[('___ tarkoittaa laajassa merkityksessä sota- tai puolustusvoimia, järjestäytyneitä aseellisia joukkoja ', ('armeija', 'puolustusvoimat', 'sotakoneisto', 'sotavoimat', 'asevoimat', 'sotakone', 'sotaväki')), ('sota- tai ___, järjestäytynyt aseellinen joukko', ('puolustusvoimat', 'sotakoneisto', 'sotavoimat', 'asevoimat', 'sotakone', 'sotaväki', 'armeija'))]","[('___ tarkoittaa laajassa merkityksessä sota- tai puolustusvoimia, järjestäytyneitä aseellisia joukkoja ', ('armeija', 'puolustusvoimat', 'sotakoneisto', 'sotavoimat', 'asevoimat', 'sotakone', 'sotaväki')), ('sota- tai ___, järjestäytynyt aseellinen joukko', ('puolustusvoimat', 'sotakoneisto', 'sotavoimat', 'asevoimat', 'sotakone', 'sotaväki', 'armeija'))]",[]
baby,bn:00007630n,"['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['Vauvaikä on ihmisen ensimmäinen ikäkausi ja elinvuosi, jolloin hän kasvaa ja kehittyy enemmän kuin myöhemmässä elämässään koskaan samassa ajassa.', 'Alle vuoden ikäinen lapsi']","[('___ on ihmisen ensimmäinen ikäkausi ja elinvuosi, jolloin hän kasvaa ja kehittyy enemmän kuin myöhemmässä elämässään koskaan samassa ajassa.', ('vauvaikä', 'pienokainen', 'pikkulapsi', 'imeväinen', 'vauva'))]","[('___ on ihmisen ensimmäinen ikäkausi ja elinvuosi, jolloin hän kasvaa ja kehittyy enemmän kuin myöhemmässä elämässään koskaan samassa ajassa.', ('vauvaikä', 'pienokainen', 'pikkulapsi', 'imeväinen')), ('___ikä on ihmisen ensimmäinen ikäkausi ja elinvuosi, jolloin hän kasvaa ja kehittyy enemmän kuin myöhemmässä elämässään koskaan samassa ajassa.', ('vauva', 'pienokainen', 'pikkulapsi', 'imeväinen'))]",['Alle vuoden ikäinen lapsi']
bag,bn:00007925n,"['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro']","['Käsilaukku on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.']","[('___ on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('käsilaukku', 'lompakko', 'kukkaro')), ('___ on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('Käsilaukku', 'lompakko', 'kukkaro')), ('Käsilaukku on kädessä tai olalla kannettava ___, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('laukku', 'lompakko', 'kukkaro'))]","[('___ on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('käsilaukku', 'lompakko', 'kukkaro')), ('___ on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('Käsilaukku', 'lompakko', 'kukkaro')), ('Käsilaukku on kädessä tai olalla kannettava ___, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.', ('laukku', 'lompakko', 'kukkaro'))]",[]
ball,bn:00008804n,"['baseball', 'baseball-peli']","['Baseball [beisbo:l] on Yhdysvalloissa kehitetty kahden joukkueen välinen pallopeli, joka on erityisen suosittua Amerikassa ja Itä-Aasiassa.']","[('___ [beisbo:l] on Yhdysvalloissa kehitetty kahden joukkueen välinen pallopeli, joka on erityisen suosittua Amerikassa ja Itä-Aasiassa.', ('baseball', 'baseball-peli'))]","[('___ [beisbo:l] on Yhdysvalloissa kehitetty kahden joukkueen välinen pallopeli, joka on erityisen suosittua Amerikassa ja Itä-Aasiassa.', ('baseball', 'baseball-peli'))]",[]
band,bn:00008287n,['sormus'],"['Sormus on sormessa koruna tai jonkin symbolina pidettävä rengas.', 'Sormeen puettava rengas']","[('___ on sormessa koruna tai jonkin symbolina pidettävä rengas.', ('sormus',))]","[('___ on sormessa koruna tai jonkin symbolina pidettävä rengas.', ('sormus',))]",['Sormeen puettava rengas']
