word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']","['(geom.) lo spazio tra due linee o piani che si intersecano', 'In geometria, un angolo supplementare è un angolo di ampiezza tale che, sommato ad un altro angolo dato, permette di ottenere un angolo piatto, cioè di 180 gradi.', ""In geometria, l'angolo complementare di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", 'Il teorema degli angoli opposti al vertice è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', 'Un angolo, in matematica, indica ciascuna delle due porzioni di piano comprese tra due semirette aventi la stessa origine.', 'Teorema matematico', 'Parte di piano compresa tra due semirette aventi la stessa origine, detta vertice', 'Figura formata da due raggi che partono da un punto comune (un angolo piano) o da tre piani che si intersecano (un angolo solido).']","[('Il ___ è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', ('Teorema degli angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare', 'angolo')), ('Il teorema degli ___ è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', ('angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare', 'angolo')), (""In geometria, l'___ di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", ('angolo complementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), (""In geometria, l'___ di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", ('Angolo complementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), (""In geometria, l'___ complementare di un dato ___ è un ___ di ampiezza tale che, sommato all'___ dato, permette di ottenere un ___ retto, ovvero di 90 gradi."", ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), ('In geometria, un ___ è un angolo di ampiezza tale che, sommato ad un altro angolo dato, permette di ottenere un angolo piatto, cioè di 180 gradi.', ('angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo complementare', 'Angolo complementare')), ('In geometria, un ___ supplementare è un ___ di ampiezza tale che, sommato ad un altro ___ dato, permette di ottenere un ___ piatto, cioè di 180 gradi.', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo complementare', 'Angolo complementare')), ('Figura formata da due raggi che partono da un punto comune (un ___ piano) o da tre piani che si intersecano (un ___ solido).', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare')), ('Un ___, in matematica, indica ciascuna delle due porzioni di piano comprese tra due semirette aventi la stessa origine.', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare'))]","[('Il ___ è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', ('Teorema degli angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare', 'angolo')), ('Il teorema degli ___ è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', ('angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare', 'angolo')), (""In geometria, l'___ di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", ('angolo complementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), (""In geometria, l'___ di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", ('Angolo complementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), (""In geometria, l'___ complementare di un dato ___ è un ___ di ampiezza tale che, sommato all'___ dato, permette di ottenere un ___ retto, ovvero di 90 gradi."", ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare')), ('In geometria, un ___ è un angolo di ampiezza tale che, sommato ad un altro angolo dato, permette di ottenere un angolo piatto, cioè di 180 gradi.', ('angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo complementare', 'Angolo complementare')), ('In geometria, un ___ supplementare è un ___ di ampiezza tale che, sommato ad un altro ___ dato, permette di ottenere un ___ piatto, cioè di 180 gradi.', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo complementare', 'Angolo complementare')), ('Figura formata da due raggi che partono da un punto comune (un ___ piano) o da tre piani che si intersecano (un ___ solido).', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare')), ('Un ___, in matematica, indica ciascuna delle due porzioni di piano comprese tra due semirette aventi la stessa origine.', ('angolo', 'Teorema degli angoli opposti al vertice', 'angoli opposti al vertice', 'angolo supplementare', 'angolo complementare', 'Angolo complementare'))]","['Parte di piano compresa tra due semirette aventi la stessa origine, detta vertice', '(geom.) lo spazio tra due linee o piani che si intersecano', 'Teorema matematico']"
ant,bn:00004458n,"['formica', 'Formicidae']","['Piccolo insetto che vive in società organizzate, spec. noto per la sua laboriosità', 'Formicidae Latreille, 1809 è una vasta famiglia di insetti imenotteri, comunemente conosciuti con il nome generico di formiche.', 'Famiglia di insetti imenotteri, noti complessivamente col nome comune di Formica.', 'Vasta famiglia di insetti imenotteri', 'Insetto nero, rosso o marrone della famiglia delle Formicidae che è caratterizzato da una testa grande e dalla vita organizzata in colonie.']","[('Insetto nero, rosso o marrone della famiglia delle ___ che è caratterizzato da una testa grande e dalla vita organizzata in colonie.', ('Formicidae', 'formica')), ('___ Latreille, 1809 è una vasta famiglia di insetti imenotteri, comunemente conosciuti con il nome generico di formiche.', ('Formicidae', 'formica')), ('Famiglia di insetti imenotteri, noti complessivamente col nome comune di ___.', ('formica', 'Formicidae'))]","[('Insetto nero, rosso o marrone della famiglia delle ___ che è caratterizzato da una testa grande e dalla vita organizzata in colonie.', ('Formicidae', 'formica')), ('___ Latreille, 1809 è una vasta famiglia di insetti imenotteri, comunemente conosciuti con il nome generico di formiche.', ('Formicidae', 'formica')), ('Famiglia di insetti imenotteri, noti complessivamente col nome comune di ___.', ('formica', 'Formicidae'))]","['Piccolo insetto che vive in società organizzate, spec. noto per la sua laboriosità', 'Vasta famiglia di insetti imenotteri']"
apple,bn:00005054n,"['buccia di mela', 'mela', 'pomo']","['Frutto del melo.', 'Il frutto del melo', 'La mela è il falso frutto del melo, infatti, il vero frutto è il torsolo.', ""Falso frutto dell'albero del Melo"", 'Falso frutto del melo', 'Buccia di una mela.', 'Frutto del melo, di forma arrotondata, provvisto di buccia di solito rossa, gialla o verde, polpa chiara e piccoli semi.']","[('La ___ è il falso frutto del melo, infatti, il vero frutto è il torsolo.', ('mela', 'buccia di mela', 'pomo')), ('Buccia di una ___.', ('mela', 'buccia di mela', 'pomo'))]","[('La ___ è il falso frutto del melo, infatti, il vero frutto è il torsolo.', ('mela', 'buccia di mela', 'pomo')), ('Buccia di una ___.', ('mela', 'buccia di mela', 'pomo'))]","['Frutto del melo, di forma arrotondata, provvisto di buccia di solito rossa, gialla o verde, polpa chiara e piccoli semi.', ""Falso frutto dell'albero del Melo"", 'Falso frutto del melo', 'Il frutto del melo', 'Frutto del melo.']"
arch,bn:00005387n,"['arco', 'fornice', 'arcata']","['Elemento architettonico con curvatura variabile che poggia su colonne, pilastri o pareti, sia con funzione di sostegno  sia con funzione decorativa', ""L'arco, in architettura, è un elemento strutturale a forma curva che si appoggia su due piedritti e tipicamente è sospeso su uno spazio vuoto."", 'Elemento architettonico', 'Elemento strutturale e decorativo curvilineo poggiante su due piedritti', ""La disposizione a forma d'arco di pietre trapezoidali, progettata per ridistribuire all'esterno la forza verso il basso.""]","[(""L'___, in architettura, è un elemento strutturale a forma curva che si appoggia su due piedritti e tipicamente è sospeso su uno spazio vuoto."", ('arco', 'fornice', 'arcata')), (""La disposizione a forma d'___ di pietre trapezoidali, progettata per ridistribuire all'esterno la forza verso il basso."", ('arco', 'fornice', 'arcata'))]","[(""L'___, in architettura, è un elemento strutturale a forma curva che si appoggia su due piedritti e tipicamente è sospeso su uno spazio vuoto."", ('arco', 'fornice', 'arcata')), (""La disposizione a forma d'___ di pietre trapezoidali, progettata per ridistribuire all'esterno la forza verso il basso."", ('arco', 'fornice', 'arcata'))]","['Elemento architettonico con curvatura variabile che poggia su colonne, pilastri o pareti, sia con funzione di sostegno  sia con funzione decorativa', 'Elemento strutturale e decorativo curvilineo poggiante su due piedritti', 'Elemento architettonico']"
arm,bn:00005704n,"['arma', 'ordigno']","[""Qualunque oggetto usato dall'uomo per offendere o difendersi, spec. se fabbricato apposta"", ""Un'arma è un qualsiasi oggetto, dispositivo, strumento meccanico o elemento di natura chimica, nucleare o elettromagnetica che venga utilizzato allo scopo di offendere oppure sia progettato per la difesa personale dell'utilizzatore."", ""Strumento con cui una persona può recare danno ad un'altra o difendersi in caso di aggressione"", 'Strumento che, durante un combattimento, serve per divendersi o attaccare, come, ad esempio, una spada, una pistola o un missile.']","[(""Un'___ è un qualsiasi oggetto, dispositivo, strumento meccanico o elemento di natura chimica, nucleare o elettromagnetica che venga utilizzato allo scopo di offendere oppure sia progettato per la difesa personale dell'utilizzatore."", ('arma', 'ordigno'))]","[(""Un'___ è un qualsiasi oggetto, dispositivo, strumento meccanico o elemento di natura chimica, nucleare o elettromagnetica che venga utilizzato allo scopo di offendere oppure sia progettato per la difesa personale dell'utilizzatore."", ('arma', 'ordigno'))]","['Strumento che, durante un combattimento, serve per divendersi o attaccare, come, ad esempio, una spada, una pistola o un missile.', ""Strumento con cui una persona può recare danno ad un'altra o difendersi in caso di aggressione"", ""Qualunque oggetto usato dall'uomo per offendere o difendersi, spec. se fabbricato apposta""]"
army,bn:00005732n,"['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']","[""Il termine militare indica genericamente tutto ciò che è relativo alle forze armate o all'organizzazione militare di un paese, o con eventi bellici condotti da eserciti organizzati."", 'Una forza armata, in ambito militare, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', 'tipo di organizzazione armata', ""L'insieme delle organizzazioni atte alla difesa di uno stato e dei suoi interesi nei confronti di entità esterne"", ""Unità militari di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'esercito, marina, aviazione e marines."", 'Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di forze militari o di polizia.']","[(""Il termine militare indica genericamente tutto ciò che è relativo alle ___ o all'organizzazione militare di un paese, o con eventi bellici condotti da eserciti organizzati."", ('forze armate', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forza armata', 'militari', 'esercito')), (""Il termine ___ indica genericamente tutto ciò che è relativo alle forze armate o all'organizzazione ___ di un paese, o con eventi bellici condotti da eserciti organizzati."", ('militare', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forza armata', 'militari', 'esercito')), ('Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di ___ o di polizia.', ('forze militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze armate', 'forza armata', 'militare', 'esercito')), ('Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di forze ___ o di polizia.', ('militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze armate', 'forza armata', 'militare', 'esercito')), (""Unità ___ di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'esercito, marina, aviazione e marines."", ('militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'forza armata', 'militare')), (""Unità militari di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'___, marina, aviazione e marines."", ('esercito', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'forza armata', 'militare')), ('Una ___, in ambito militare, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', ('forza armata', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'militari', 'esercito')), ('Una forza armata, in ambito ___, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', ('militare', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'militari', 'esercito'))]","[(""Il termine militare indica genericamente tutto ciò che è relativo alle ___ o all'organizzazione militare di un paese, o con eventi bellici condotti da eserciti organizzati."", ('forze armate', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forza armata', 'militari', 'esercito')), (""Il termine ___ indica genericamente tutto ciò che è relativo alle forze armate o all'organizzazione ___ di un paese, o con eventi bellici condotti da eserciti organizzati."", ('militare', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forza armata', 'militari', 'esercito')), ('Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di ___ o di polizia.', ('forze militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze armate', 'forza armata', 'militare', 'esercito')), ('Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di forze ___ o di polizia.', ('militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze armate', 'forza armata', 'militare', 'esercito')), (""Unità ___ di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'esercito, marina, aviazione e marines."", ('militari', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'forza armata', 'militare')), (""Unità militari di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'___, marina, aviazione e marines."", ('esercito', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'forza armata', 'militare')), ('Una ___, in ambito militare, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', ('forza armata', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'militari', 'esercito')), ('Una forza armata, in ambito ___, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', ('militare', ""forze dell'ordine"", 'forze di polizia', 'unità militare', 'forze militari', 'forze armate', 'militari', 'esercito'))]","[""L'insieme delle organizzazioni atte alla difesa di uno stato e dei suoi interesi nei confronti di entità esterne"", 'tipo di organizzazione armata']"
baby,bn:00007630n,"['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']","['Un figlio giovane, che non ha ancora iniziato a parlare o camminare.', 'Lattante', ""Essere umano molto piccolo, dalla nascita fino all'età di un anno circa."", 'Bambino nei primi anni della sua vita.']","[(""Essere umano molto ___, dalla nascita fino all'età di un anno circa."", ('piccolo', 'bambino piccolo', 'fantolino', 'creatura', 'lattante', 'poppante', 'neonato', 'bambina', 'bambino', 'piccino', 'infante', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby')), ('___ nei primi anni della sua vita.', ('bambino', 'bambino piccolo', 'fantolino', 'creatura', 'lattante', 'poppante', 'neonato', 'bambina', 'piccino', 'infante', 'piccolo', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby')), ('___', ('lattante', 'bambino piccolo', 'fantolino', 'creatura', 'poppante', 'neonato', 'bambina', 'bambino', 'piccino', 'infante', 'piccolo', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby'))]","[(""Essere umano molto ___, dalla nascita fino all'età di un anno circa."", ('piccolo', 'bambino piccolo', 'fantolino', 'creatura', 'lattante', 'poppante', 'neonato', 'bambina', 'bambino', 'piccino', 'infante', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby')), ('___ nei primi anni della sua vita.', ('bambino', 'bambino piccolo', 'fantolino', 'creatura', 'lattante', 'poppante', 'neonato', 'bambina', 'piccino', 'infante', 'piccolo', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby')), ('___', ('lattante', 'bambino piccolo', 'fantolino', 'creatura', 'poppante', 'neonato', 'bambina', 'bambino', 'piccino', 'infante', 'piccolo', 'bimbo', 'bebè', 'bebé', 'pupo', 'baby'))]","['Un figlio giovane, che non ha ancora iniziato a parlare o camminare.']"
bag,bn:00007925n,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto']","[""Una borsa è un contenitore utilizzato solitamente per custodire o trasportare piccoli oggetti d'uso quotidiano."", 'Contenitore portatile realizzato in qualsiasi materiale', ""Contenitore utilizzato per custodire o trasportare piccoli oggetti d'uso quotidiano"", 'Oggetto utilizzato per portare con se soldi o oggetti o accessori piccoli (specialmente per donne).']","[(""Una ___ è un contenitore utilizzato solitamente per custodire o trasportare piccoli oggetti d'uso quotidiano."", ('borsa', 'portamonete', 'borsello', 'borsetta', 'borsetto'))]","[(""Una ___ è un contenitore utilizzato solitamente per custodire o trasportare piccoli oggetti d'uso quotidiano."", ('borsa', 'portamonete', 'borsello', 'borsetta', 'borsetto'))]","['Oggetto utilizzato per portare con se soldi o oggetti o accessori piccoli (specialmente per donne).', ""Contenitore utilizzato per custodire o trasportare piccoli oggetti d'uso quotidiano"", 'Contenitore portatile realizzato in qualsiasi materiale']"
ball,bn:00008804n,"['baseball', 'pallabase', 'partita di baseball', 'palla base']","['Il baseball è uno sport di squadra in cui due squadre composte da nove giocatori si affrontano per nove inning in ciascuno dei quali le due squadre si alternano nella fase di attacco e di difesa.', 'Sport con una mazza e una palla che si gioca tra due squadre di nove giocatori.']","[('Il ___ è uno sport di squadra in cui due squadre composte da nove giocatori si affrontano per nove inning in ciascuno dei quali le due squadre si alternano nella fase di attacco e di difesa.', ('baseball', 'partita di baseball', 'palla base', 'pallabase'))]","[('Il ___ è uno sport di squadra in cui due squadre composte da nove giocatori si affrontano per nove inning in ciascuno dei quali le due squadre si alternano nella fase di attacco e di difesa.', ('baseball', 'partita di baseball', 'palla base', 'pallabase'))]",['Sport con una mazza e una palla che si gioca tra due squadre di nove giocatori.']
band,bn:00008287n,['anello'],"['Gioiello a forma di banda circolare, da portare al dito', 'Un anello è una fascia di metallo o di altri materiali indossata su un dito della mano, principalmente in qualità di ornamento.', 'Gioiello che si indossa sulla mano', 'gioiello portato al dito', 'Oggetto rotondo di metallo (prezioso) indossato intorno al dito.']","[('Un ___ è una fascia di metallo o di altri materiali indossata su un dito della mano, principalmente in qualità di ornamento.', ('anello',))]","[('Un ___ è una fascia di metallo o di altri materiali indossata su un dito della mano, principalmente in qualità di ornamento.', ('anello',))]","['Oggetto rotondo di metallo (prezioso) indossato intorno al dito.', 'Gioiello a forma di banda circolare, da portare al dito', 'Gioiello che si indossa sulla mano', 'gioiello portato al dito']"
