word_original,synset,senses,definitions
angle,bn:00004117n,"['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['Kaksi kulmaa ovat tasogeometriassa toistensa suplementtikulmat, jos kulmien summa on 180° eli oikokulman suuruinen.', 'Komplementtikulmilla tarkoitetaan tasogeometriassa kahta kulmaa, joiden summa on 90° eli suora kulma.', 'Kulma on geometriassa kahden säteen väliin jäävän tason osa.', 'kahden säteen välin jäävä taso']"
ant,bn:00004458n,"['muurahainen', 'muurahaiset', 'kusiainen']","['Muurahaiset ovat hyönteisten heimo.', 'Hyönteisten heimo']"
apple,bn:00005054n,['omena'],"['Omena on omenapuiden hedelmä, joka on kasvitieteellisesti pohjushedelmä.', 'Omenapuun hedelmä', 'Kirpeä, muodoltaan pyöreä omenapuun hedelmä, kuori väriltään yleensä punainen, keltainen tai vihreä, hedelmäliha vaalea, sisällä siemeniä.']"
arch,bn:00005387n,"['holvikaari', 'Kaari', 'kaari', 'holvi']","['Kaari on muurattu rakenneosa, jonka tarkoitus on kattaa aukko muurissa ja kannattaa paitsi itsensä myös yläpuolinen muuri.', 'Muuriaukon katerakenne', 'muurattu rakenneosa']"
arm,bn:00005704n,"['ase', 'astalo']","['Ase on väline, jolla voi tappaa tai vahingoittaa eläviä olentoja, ja jota yleensä käytetään taistelussa tai metsästyksessä.', 'Väline, jolla voi tappaa tai vahingoittaa']"
army,bn:00005732n,"['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['Armeija tarkoittaa laajassa merkityksessä sota- tai puolustusvoimia, järjestäytyneitä aseellisia joukkoja ', 'sota- tai puolustusvoimat, järjestäytynyt aseellinen joukko']"
baby,bn:00007630n,"['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['Vauvaikä on ihmisen ensimmäinen ikäkausi ja elinvuosi, jolloin hän kasvaa ja kehittyy enemmän kuin myöhemmässä elämässään koskaan samassa ajassa.', 'Alle vuoden ikäinen lapsi']"
bag,bn:00007925n,"['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro']","['Käsilaukku on kädessä tai olalla kannettava laukku, johon voi panna esimerkiksi lompakon, luottokortteja, kynän, avaimet, ehosteita ja nenäliinoja.']"
ball,bn:00008804n,"['baseball', 'baseball-peli']","['Baseball [beisbo:l] on Yhdysvalloissa kehitetty kahden joukkueen välinen pallopeli, joka on erityisen suosittua Amerikassa ja Itä-Aasiassa.']"
band,bn:00008287n,['sormus'],"['Sormus on sormessa koruna tai jonkin symbolina pidettävä rengas.', 'Sormeen puettava rengas']"
