word_original,synset,senses,definitions
angle,bn:00004117n,['कोण'],"['""यदि कोई रेखा अपने एक सिरे को स्थिर रखकर घूमती हुई अपनी स्थिति में परिवर्तन करती है, तो रेखा के परिक्रमण की माप को कोण कहते है।']"
ant,bn:00004458n,['चींटी'],"['चींटी या पिपीलिका एक है, जो फ़ोरमिसिडाए नामक जीववैज्ञानिक कुल में वर्गीकृत है।']"
apple,bn:00005054n,['सेब'],"['सेब एक फल है।', 'सेब पेड़ का फल']"
arch,bn:00005387n,['चाप'],['वास्तुशिल्प में चाप या मेहराब वृत्त के चाप की सी संरचना को कहते हैं जो दो आलम्बों के बीच की दूरी को पाटता है तथा अपने ऊपर भार वहन करता है।']
army,bn:00005732n,"['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']",['[[चित्र:52nd-Sikh-Regiment Soldiers.jpg|']
baby,bn:00007630n,"['बच्चा', 'शिशु']",['शिशु पृथ्वी पर किसी भी मानव की सबसे पहली अवस्था है।']
ball,bn:00008804n,['बेसबॉल'],['बेसबॉल एक बल्ले एवं गेंद से खेले जाना वाला अमरीकी खेल है।']
band,bn:00008287n,"['अँगूठी', 'छल्ला', 'अंगूठी']",['अंगूठी एक गहना है और उंगली में पहना जा सकता है।']
bed,bn:00009472n,"['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['पलंग एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।', 'एक प्रकार का फर्नीचर होता है जिसे सोने एवं लेटने के लिए प्रयोग किया जाता है।']"
bell,bn:00009728n,"['घंटी', 'द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी']",['द्वारघण्टी एक संकेतन उपकरण है जिसे प्रायः किसी भवन के प्रवेश द्वार के कपाट के निकट रखा जाता है।']
bird,bn:00010605n,"['चिड़िया', 'पक्षी', 'Aves']",['पंख वाले या उड़ने वाले किसी भी जन्तु को पक्षी कहा जाता है।']
blade,bn:00011081n,"['तलवार', 'शमशेर']",['तलवार या तरवारि एक धारदार शस्त्र है जो कर्तन या आक्रमण के लिए प्रयुक्त होता है।']
boat,bn:00011674n,"['बेड़ी', 'नौका', 'बेड़ा', 'डोँगा', 'नाव', 'डोँगी', 'कश्ती']","['नाव या नौका डाँड़, क्षेपणी, चप्पू, पतवार या पाल से चलने वाली एक प्रकार की छोटी जलयान है।']"
bone,bn:00011999n,"['हड्डी', 'अस्थि']",['अस्थियाँ या हड्डियाँ रीढ़धारी जीवों का वह कठोर अंग है जो अन्तःकंकाल का निर्माण करती हैं।']
