word_original,synset,senses,definitions
angle,bn:00004117n,"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']","['(geom.) lo spazio tra due linee o piani che si intersecano', 'In geometria, un angolo supplementare è un angolo di ampiezza tale che, sommato ad un altro angolo dato, permette di ottenere un angolo piatto, cioè di 180 gradi.', ""In geometria, l'angolo complementare di un dato angolo è un angolo di ampiezza tale che, sommato all'angolo dato, permette di ottenere un angolo retto, ovvero di 90 gradi."", 'Il teorema degli angoli opposti al vertice è un teorema che afferma: In pratica afferma che date due rette intersecanti, i quattro angoli formantisi sono sempre congruenti a due a due, quando opposti al vertice.', 'Un angolo, in matematica, indica ciascuna delle due porzioni di piano comprese tra due semirette aventi la stessa origine.', 'Teorema matematico', 'Parte di piano compresa tra due semirette aventi la stessa origine, detta vertice', 'Figura formata da due raggi che partono da un punto comune (un angolo piano) o da tre piani che si intersecano (un angolo solido).']"
ant,bn:00004458n,"['formica', 'Formicidae']","['Piccolo insetto che vive in società organizzate, spec. noto per la sua laboriosità', 'Formicidae Latreille, 1809 è una vasta famiglia di insetti imenotteri, comunemente conosciuti con il nome generico di formiche.', 'Famiglia di insetti imenotteri, noti complessivamente col nome comune di Formica.', 'Vasta famiglia di insetti imenotteri', 'Insetto nero, rosso o marrone della famiglia delle Formicidae che è caratterizzato da una testa grande e dalla vita organizzata in colonie.']"
apple,bn:00005054n,"['buccia di mela', 'mela', 'pomo']","['Frutto del melo.', 'Il frutto del melo', 'La mela è il falso frutto del melo, infatti, il vero frutto è il torsolo.', ""Falso frutto dell'albero del Melo"", 'Falso frutto del melo', 'Buccia di una mela.', 'Frutto del melo, di forma arrotondata, provvisto di buccia di solito rossa, gialla o verde, polpa chiara e piccoli semi.']"
arch,bn:00005387n,"['arco', 'fornice', 'arcata']","['Elemento architettonico con curvatura variabile che poggia su colonne, pilastri o pareti, sia con funzione di sostegno  sia con funzione decorativa', ""L'arco, in architettura, è un elemento strutturale a forma curva che si appoggia su due piedritti e tipicamente è sospeso su uno spazio vuoto."", 'Elemento architettonico', 'Elemento strutturale e decorativo curvilineo poggiante su due piedritti', ""La disposizione a forma d'arco di pietre trapezoidali, progettata per ridistribuire all'esterno la forza verso il basso.""]"
arm,bn:00005704n,"['arma', 'ordigno']","[""Qualunque oggetto usato dall'uomo per offendere o difendersi, spec. se fabbricato apposta"", ""Un'arma è un qualsiasi oggetto, dispositivo, strumento meccanico o elemento di natura chimica, nucleare o elettromagnetica che venga utilizzato allo scopo di offendere oppure sia progettato per la difesa personale dell'utilizzatore."", ""Strumento con cui una persona può recare danno ad un'altra o difendersi in caso di aggressione"", 'Strumento che, durante un combattimento, serve per divendersi o attaccare, come, ad esempio, una spada, una pistola o un missile.']"
army,bn:00005732n,"['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']","[""Il termine militare indica genericamente tutto ciò che è relativo alle forze armate o all'organizzazione militare di un paese, o con eventi bellici condotti da eserciti organizzati."", 'Una forza armata, in ambito militare, indica la struttura organizzativa e il complesso di reparti in armi di uno Stato.', 'tipo di organizzazione armata', ""L'insieme delle organizzazioni atte alla difesa di uno stato e dei suoi interesi nei confronti di entità esterne"", ""Unità militari di uno stato, di solito divisi dai loro diversi contesti di operazioni, come l'esercito, marina, aviazione e marines."", 'Gruppo organizzato di persone che esercitano il potere al fine di mantenere o di prendere il controllo su altre persone; di forze militari o di polizia.']"
baby,bn:00007630n,"['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']","['Un figlio giovane, che non ha ancora iniziato a parlare o camminare.', 'Lattante', ""Essere umano molto piccolo, dalla nascita fino all'età di un anno circa."", 'Bambino nei primi anni della sua vita.']"
bag,bn:00007925n,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto']","[""Una borsa è un contenitore utilizzato solitamente per custodire o trasportare piccoli oggetti d'uso quotidiano."", 'Contenitore portatile realizzato in qualsiasi materiale', ""Contenitore utilizzato per custodire o trasportare piccoli oggetti d'uso quotidiano"", 'Oggetto utilizzato per portare con se soldi o oggetti o accessori piccoli (specialmente per donne).']"
ball,bn:00008804n,"['baseball', 'pallabase', 'partita di baseball', 'palla base']","['Il baseball è uno sport di squadra in cui due squadre composte da nove giocatori si affrontano per nove inning in ciascuno dei quali le due squadre si alternano nella fase di attacco e di difesa.', 'Sport con una mazza e una palla che si gioca tra due squadre di nove giocatori.']"
band,bn:00008287n,['anello'],"['Gioiello a forma di banda circolare, da portare al dito', 'Un anello è una fascia di metallo o di altri materiali indossata su un dito della mano, principalmente in qualità di ornamento.', 'Gioiello che si indossa sulla mano', 'gioiello portato al dito', 'Oggetto rotondo di metallo (prezioso) indossato intorno al dito.']"
basin,bn:00071766n,"['lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']","['Il lavabo, è un apparato costituito da una sorgente idrica e una bacinella di raccolta con scarico.', 'Altro nome del lavabo, arredo sanitario da bagno', 'Una scodella, catino, usato per lavarsi o lavare i piatti, che di solito é fissato al muro.']"
basket,bn:00008872n,"['cesto', 'cestino', 'cesta', 'canestro', 'paniere', 'cestino della spesa']","[""Il cesto è un contenitore ottenuto con l'intreccio di materiali di varia natura, usato per contenere o trasportare oggetti o alimenti."", ""Contenitore ottenuto con l'intreccio di materiali di varia natura, usato per contenere o trasportare oggetti o alimenti"", 'Contenitore leggero, generalmente rotondo, aperto in alto e che si va restringendo verso il basso.']"
bath,bn:00008995n,"['bagno', 'stanza da bagno', 'ritirata', 'toilette']","['Una stanza (in una casa) tipicamente con lavandino, vasca o doccia, e water.', 'La stanza da bagno, detta anche sala da bagno, o semplicemente bagno o anche toilette è un locale adibito alla sede di apparecchi igienico-sanitari, diffuso in gran parte del mondo.', 'Locale adibito alla sede di apparecchi igienici', 'La stanza che contiene la vasca da bagno, la doccia e solitamente un lavandino e una tazza.']"
bed,bn:00009472n,"['letto', 'giaciglio']","['Mobile destinato al riposo e al sonno, adatto per rimanervi comodamente sdraiati.', 'Il mobile che serve per riposare e dormire', 'Il letto è un mobile domestico costituito da una superficie orizzontale solitamente ricoperta da un materasso su cui è possibile sdraiarsi per dormire.', 'Mobile', 'Mobile', ""Parte dell'arredamento, costruito per poter dormirci sopra.""]"
bee,bn:00009524n,"['ape', 'Anthophila', 'pecchia']","['Insetto.', 'Insetto alato di colore bruno dorato e munito di pungiglione, che vive in società e produce il miele e la cera', 'Le Anthophila sono una suddivisione monofiletica, ancora non universalmente considerata un rango tassonomico, di imenotteri, appartenenti, insieme al clade polifiletico Spheciformes, alla superfamiglia Apoidea.', 'Rango tassonomico, di imenotteri', 'Insetto imenottero alato caratterizzato da un corpo peloso a strisce gialle e nere, importante impollinatore che si nutre generalmente di nettare.']"
bell,bn:00009728n,['campanello'],"['Dispositivo elettrico', 'Pulsante di una porta esterna che produce un segnale sonoro una volta spinto.']"
berry,bn:00010066n,"['bacca', 'frutti di bosco']","['Frutto carnoso di forma tondeggiante con endocarpo sottile e interno polposo e succoso', 'I frutti di bosco sono una categoria di frutta, le cui piante si sviluppano nel particolare clima umido e terreno acido del sottobosco, in condizioni di semi-ombra e clima freddo.', 'Nome collettivo per piante che crescono nel sottobosco e le cui bacche vengono mangiate come frutta']"
bird,bn:00010605n,"['uccello', 'Aves', 'volatile', 'volativo', 'volatio', 'pennuto', 'augello']","['Animale vertebrato oviparo dal corpo coperto di penne e piume, con ali, cova le uova e si occupa della prole', 'Gli uccelli sono una classe di dinosauri teropodi altamente specializzati caratterizzati dalla presenza di becchi sdentati e forcule, code corte con pigostilo, corpi ricoperti di piumaggio e ripieni di sacchi aeriferi, dita anteriori fuse, uova dai gusci duri, metabolismi alti e ossa cave ma robuste.', 'Nome scientifico degli uccelli', 'Animali vertebrati, con sangue caldo, con il corpo ricoperto da piume e dotato di ali, che appertiene alla famigli degli Aves.']"
blade,bn:00011081n,"['spada', 'gladio', 'brando', 'stocco', 'durindana', 'durlindana', 'lama', 'ferro', 'acciaro']","['Arma bianca da taglio.', 'Arma con lama di varia lunghezza', 'Spada', ""Una spada è un'arma bianca a lama lunga, spesso a doppio filo, adatta a colpire di punta e di taglio e usata dalle più varie civiltà in ogni luogo del mondo e in ogni epoca, sebbene prevalentemente in Eurasia e in Nordafrica."", 'Arma da taglio', 'Arma bianca a lama lunga', ""Un'arma a lama lunga che ha un manico (e talvolta un'elsa), progettata per colpire, tagliare o lacerare.""]"
board,bn:00021015n,"['commissione', 'comitato']","['Gruppo di persone al quale è stato affidato un compito comune', ""Un comitato è l'attributo dato a uffici e organi collegiali con funzioni per lo più deliberative o esecutive."", 'Denominazione attribuita a taluni uffici ed organi collegiali', 'tipo di insieme di umani']"
boat,bn:00011674n,"['imbarcazione', 'nave', 'barca', 'scialuppa', 'lancia', 'schifo', 'battello', 'natante']","['Piccola imbarcazione a remi a vela o a motore', 'Imbarcazione indica genericamente una nave, il termine è però anche utilizzato per indicare la classificazione giuridica di una nave.', 'Veicolo acquatico', 'Un veicolo marittimo progettato per galleggiare o planare e fornire trasporto su acqua.']"
bone,bn:00011999n,['osso'],"['Tessuto connettivo rigido che costituisce lo scheletro dei vertebrati.', 'Ciascuna delle parti dure e solide che formano lo scheletro dei vertebrati', ""Un osso è una parte anatomica solida dei vertebrati; l'insieme delle ossa di un dato animale ne costituisce lo scheletro."", 'Parte anatomica solida dei vertebrati', 'Materiale composto consistentemente in larga parte da fosfato di calcio e collagene e che forma lo scheletro della maggior parte dei vertebrati.']"
book,bn:00012059n,['libro'],"['Lavoro scritto che è stato pubblicato.', 'Testo contenuto', 'Un libro è un insieme di fogli, stampati oppure manoscritti, delle stesse dimensioni, rilegati insieme in un certo ordine e racchiusi da una copertina.', 'Insieme di fogli stampati', 'Documento scritto costituito da un insieme di fogli stampati oppure manoscritti', 'Una raccolta di fogli di carta legati insieme a cerniera da un bordo, contenente stampato o scritto il materiale, le immagini, ecc.']"
boot,bn:00012166n,"['stivale', 'scarpone']","['Calzatura di cuoio o di gomma, che arriva sino al ginocchio o alla coscia', 'Lo stivale è una calzatura che, oltre al piede, copre la caviglia, parte della gamba e in alcuni modelli anche la coscia.', 'Calzatura', 'Calzatura che copre anche parte della gamba.']"
bottle,bn:00012339n,['bottiglia'],"['Recipiente di vetro che serve a contenere liquidi', ""Una bottiglia è un contenitore di capacità variabile, attestata sull'ordine di grandezza del litro, a volte dotato di un tappo."", 'Contenitore in vetro.', 'Recipiente col collo stretto, usualmente di vetro o plastica, che serve a contenere un liquido, in modo particolare acqua e vino.']"
box,bn:00012524n,"['scatola', 'cassetta', 'astuccio', 'cassa']","['Piccola cassa', 'La scatola è un contenitore di forma generalmente parallelepipeda o cilindrica e munita di coperchio usato per riporre o trasportare materiali solidi di vario genere.']"
boy,bn:00012569n,"['ragazzo', 'figliuolo', 'bambino', 'bimbo', 'figliolo', 'fanciullo', 'ragazzino', 'guaglione', 'maschietto']","['Per ragazzo, dal latino medievale ragatius, si intende un giovane essere umano di sesso maschile, solitamente un bambino o un adolescente.', 'Giovane uomo, bambino o adolescente', 'Giovane persona di sesso maschile, normalmente un bambino o un ragazzo']"
brain,bn:00012681n,"['testare', 'pensiero', 'mente', 'cervello', 'Intelletto cosmico', 'psiche', 'nous', 'testa', 'psicologia']","['Ciò che è responsabile dei pensieri e dei sentimenti.', 'La sede della facoltà della ragione.', 'Noûs', ""Il termine mente è comunemente utilizzato per descrivere l'insieme delle funzioni superiori del cervello e delle emozioni e, in particolare, quelle di cui si può avere soggettivamente coscienza in diverso grado, quali la sensazione, il pensiero, l'intuizione, la ragione, la memoria, la volontà."", ""La psiche, in psicologia, è l'insieme di quelle funzioni cerebrali, emotive, affettive e relazionali dell'individuo che esulano dalla sua dimensione corporea e materiale."", ""Termine che descrive l'insieme delle funzioni superiori del cervello e, in particolare, quelle di cui si può avere soggettivamente coscienza in diverso grado, quali la sensazione, il pensiero, l'intuizione, la ragione, la memoria, la volontà"", ""Insieme delle funzioni cerebrali, emotive, affettive e relazionali dell'individuo"", 'Termine della psicologia', 'Facoltà di comprendere, intelletto', 'Il complesso delle facoltà cognitive, perlopiù caratteristiche degli esseri umani, che permettono la coscienza, il pensiero, la percezione e il giudizio razionale.']"
brake,bn:00012710n,['freno'],"['Congegno per frenare', 'Il freno è un dispositivo utilizzato per rallentare o bloccare il movimento di un corpo.', 'Dispositivo utilizzato per rallentare o bloccare il movimento di un corpo']"
branch,bn:00029676n,"['economia', 'scienze economiche', 'economia politica']","['Scienza che studia come impiegare i beni a disposizione', ""L'economia politica è la scienza sociale che si occupa dei metodi con cui l'uomo usa razionalmente poche risorse per soddisfare molte esigenze."", ""Branca dell'economia"", 'Disciplina che studia il sistema economico', 'Studio sociale della produzione, distribuzione e consumo della ricchezza.']"
brick,bn:00013047n,"['mattone', 'tegola', 'laterizio', 'mattonella']","[""Il mattone è un prodotto utilizzato sin dall'antichità nelle costruzioni e nell'edilizia in generale."", 'Elemento impiegato in edilizia. Spesso ed impropriamente usato nel linguaggio comune per indicare i vari prodotti ceramici utilizzati per costruire, è da considerarsi come uno dei tanti prodotti catalogati nella lingua italiana come laterizi', 'Materiale da costruzione fatto di argilla essicata al sole o cotto alla fornace e modellato in forma di parallelepipedo.']"
bridge,bn:00013077n,"['ponte', 'ponti romani']","[""Costruzione in legno, ferro, muratura o cemento armato che permette a una strada o a una ferrovia il superamento di un ostacolo come ad es. un corso d'acqua"", ""Un ponte è un'infrastruttura tipica dell'ingegneria civile, utilizzata per superare un ostacolo, naturale o artificiale, che si interpone alla continuità di una via di comunicazione."", 'Struttura che si estende e fornisce un passaggio su strada, ferrovia, fiume o qualche altro ostacolo', 'Struttura che si estende e fornisce un passaggio su strada, ferrovia, fiume o qualche altro ostacolo.']"
brush,bn:00013489n,"['spazzola', 'pennello']","['Arnese costituito da un corpo rigido sul quale sono infisse setole per pulire vestiti, capelli, superfici', 'Uno strumento con un manico e una testa con setole flessibili, usato per pettinare i capelli.']"
bucket,bn:00013590n,"['secchio', 'secchia', 'bugliolo']","[""Un secchio è un contenitore cilindrico o, più frequentemente, a forma di cono tronco con un'apertura in alto e un fondo piatto, di solito attaccato a un manico semicircolare."", 'Contenitore (in materiale rigido con una maniglia) che viene utilizzato per il trasporto di liquidi o di piccoli oggetti.']"
bulb,bn:00013745n,"['lampadina', 'lampada a incandescenza', 'luce elettrica', 'bulbo']","['Bulbo di vetro contenente un filamento di tungsteno che emette luce', ""La lampada a incandescenza è una sorgente luminosa artificiale il cui funzionamento si basa sul fenomeno dell'incandescenza, l'irraggiamento di fotoni generato dal surriscaldamento di un elemento metallico."", 'Dispositivo luminoso', ""Un bulbo di vetro con all'interno un filamento metallico che, quando viene percorso da corrente diventa incandescente, emettendo luce utilizzata per illuminare piccoli ambienti.""]"
button,bn:00014305n,['bottone'],"['Il bottone è un piccolo oggetto, solitamente piatto e di forma tondeggiante, usato per chiudere gli abiti.', 'Piccolo oggetto solitamente piatto e di forma tondeggiante usato per chiudere gli abiti', 'Accessorio di abbigliamento', 'Meccanismo di fissaggio costituito da un disco che viene fatto passare attraverso una fessura nel materiale adiacente.']"
