word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['nurk', 'Nurk']","['Nurk on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.']","[('___ on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.', ('nurk',)), ('___ on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.', ('Nurk',))]","[('___ on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.', ('nurk',)), ('___ on geomeetriline kujund, mille moodustavad kaks ühise otspunktiga kiirt.', ('Nurk',))]",[]
ant,bn:00004458n,"['sipelgas', 'sipelglased', 'Sipelglased']",['Sipelglased on ühiseluliste putukate sugukond kiletiivaliste seltsist.'],"[('___ on ühiseluliste putukate sugukond kiletiivaliste seltsist.', ('sipelglased', 'sipelgas')), ('___ on ühiseluliste putukate sugukond kiletiivaliste seltsist.', ('Sipelglased', 'sipelgas'))]","[('___ on ühiseluliste putukate sugukond kiletiivaliste seltsist.', ('sipelglased', 'sipelgas')), ('___ on ühiseluliste putukate sugukond kiletiivaliste seltsist.', ('Sipelglased', 'sipelgas'))]",[]
apple,bn:00005054n,['õun'],"['Õun on õunapuu vili, botaanilises mõttes õunvili.']","[('___ on õunapuu vili, botaanilises mõttes õunvili.', ('õun',))]","[('___ on ___apuu vili, botaanilises mõttes ___vili.', ('õun',))]",[]
arch,bn:00005387n,"['Kaar', 'kaar']","['Kaar on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', 'Arhitektuuris painutatud joon või pind kahe tugipunkti vahel, mis sildab nendevahelise avause, ehituses kõvera varda kujuline tasandiline sildetarind.']","[('___ on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', ('Kaar',)), ('___ on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', ('kaar',))]","[('___ on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', ('Kaar',)), ('___ on vertikaalne kõverjooneline struktuur kahe tugipunkti vahel, mis sildab tugipunktide vahelist ruumiosa ja võib olla konstruktsiooniliselt kandva funktsiooniga.', ('kaar',))]","['Arhitektuuris painutatud joon või pind kahe tugipunkti vahel, mis sildab nendevahelise avause, ehituses kõvera varda kujuline tasandiline sildetarind.']"
arm,bn:00005704n,"['relv', 'Relv']","['Relv on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.']","[('___ on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.', ('relv',)), ('___ on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.', ('Relv',))]","[('___ on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.', ('relv',)), ('___ on loodud seade/ese või suvaline kättesattuv vahend, mida kasutatakse enese kaitseks, vallutustel teiste inimeste allutamiseks/hävitamiseks või ulukite küttimiseks.', ('Relv',))]",[]
army,bn:00005732n,"['relvajõud', 'sõjavägi']","['Sõjavägi on enamasti riiklikult korraldatud relvastatud organisatsioon, mille põhieesmärgiks on olla sõjaliseks toeks riigi julgeoleku-, välis- ja kaitsepoliitikale ning sealhulgas kaitsta riigi territoriaalset terviklikkust võimalike rünnete vastu.', 'riiklikult korraldatud relvastatud organisatsioon']","[('___ on enamasti riiklikult korraldatud relvastatud organisatsioon, mille põhieesmärgiks on olla sõjaliseks toeks riigi julgeoleku-, välis- ja kaitsepoliitikale ning sealhulgas kaitsta riigi territoriaalset terviklikkust võimalike rünnete vastu.', ('sõjavägi', 'relvajõud'))]","[('___ on enamasti riiklikult korraldatud relvastatud organisatsioon, mille põhieesmärgiks on olla sõjaliseks toeks riigi julgeoleku-, välis- ja kaitsepoliitikale ning sealhulgas kaitsta riigi territoriaalset terviklikkust võimalike rünnete vastu.', ('sõjavägi', 'relvajõud'))]",['riiklikult korraldatud relvastatud organisatsioon']
baby,bn:00007630n,"['väikelaps', 'beebi', 'Imik', 'imik']",['Imik ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.'],"[('___ ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.', ('Imik', 'väikelaps', 'beebi')), ('___ ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.', ('imik', 'väikelaps', 'beebi'))]","[('___ ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.', ('Imik', 'väikelaps', 'beebi')), ('___ ehk rinnalaps on laps alates sündimisest kuni üheaastaseks saamiseni.', ('imik', 'väikelaps', 'beebi'))]",[]
ball,bn:00008804n,['pesapall'],"['Pesapall on võistkondlik sportmäng, milles osalevad kaks 9-liikmelist võistkonda, kes tegutsevad vaheldumisi ründajate ja kaitsjatena.']","[('___ on võistkondlik sportmäng, milles osalevad kaks 9-liikmelist võistkonda, kes tegutsevad vaheldumisi ründajate ja kaitsjatena.', ('pesapall',))]","[('___ on võistkondlik sportmäng, milles osalevad kaks 9-liikmelist võistkonda, kes tegutsevad vaheldumisi ründajate ja kaitsjatena.', ('pesapall',))]",[]
band,bn:00008287n,['sõrmus'],['Sõrmus on enamasti metallist rõnga- või spiraalikujuline sõrmeehe.'],"[('___ on enamasti metallist rõnga- või spiraalikujuline sõrmeehe.', ('sõrmus',))]","[('___ on enamasti metallist rõnga- või spiraalikujuline sõrmeehe.', ('sõrmus',))]",[]
basin,bn:00071766n,"['kraanikauss', 'bassein', 'Bassein', 'valamu']","['Bassein on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.']","[('___ on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.', ('bassein', 'kraanikauss', 'valamu')), ('___ on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.', ('Bassein', 'kraanikauss', 'valamu'))]","[('___ on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.', ('bassein', 'kraanikauss', 'valamu')), ('___ on suur lahtine veemahuti, tehisveekogu või ehitistega piiratud loodusliku veekogu osa.', ('Bassein', 'kraanikauss', 'valamu'))]",[]
basket,bn:00008872n,"['korv', 'Korv']","['Korv oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.']","[('___ oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.', ('korv',)), ('___ oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.', ('Korv',))]","[('___ oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.', ('korv',)), ('___ oli algselt vitstest, puukoorest või muust vastupidavast looduslikust materjalist punutud avar anum, mida enamasti kasutati tahkete asjade transpordiks ja hoiustamiseks.', ('Korv',))]",[]
bath,bn:00008995n,['vannituba'],"['Vannituba on inimese eluruumides paiknev ruum, kus on pesemiseks mõeldud vann.']","[('___ on inimese eluruumides paiknev ruum, kus on pesemiseks mõeldud vann.', ('vannituba',))]","[('___ on inimese eluruumides paiknev ruum, kus on pesemiseks mõeldud vann.', ('vannituba',))]",[]
bed,bn:00009472n,['voodi'],"['Voodi on magamiseks mõeldud mööbliese.', 'magamiseks mõeldud mööbliese']","[('___ on magamiseks mõeldud mööbliese.', ('voodi',))]","[('___ on magamiseks mõeldud mööbliese.', ('voodi',))]",['magamiseks mõeldud mööbliese']
berry,bn:00010066n,['mari'],"['Mari on lihakvili, mis sisaldab arvukalt seemneid.', 'Taimede viljade tüüp.']","[('___ on lihakvili, mis sisaldab arvukalt seemneid.', ('mari',))]","[('___ on lihakvili, mis sisaldab arvukalt seemneid.', ('mari',))]",['Taimede viljade tüüp.']
bird,bn:00010605n,"['lind', 'linnud']","['Linnud on keelikloomade klass selgroogsete alamhõimkonnast, kellele on iseloomulik võime aktiivselt lennata, nende keha on kaetud sulgedega ja esijäsemed on moondunud tiibadeks.']","[('___ on keelikloomade klass selgroogsete alamhõimkonnast, kellele on iseloomulik võime aktiivselt lennata, nende keha on kaetud sulgedega ja esijäsemed on moondunud tiibadeks.', ('linnud', 'lind'))]","[('___ on keelikloomade klass selgroogsete alamhõimkonnast, kellele on iseloomulik võime aktiivselt lennata, nende keha on kaetud sulgedega ja esijäsemed on moondunud tiibadeks.', ('linnud', 'lind'))]",[]
blade,bn:00011081n,['mõõk'],"['Mõõk on ühe- või mitmeteraline löögi- ja torkerelv, mida kasutati tavaliselt lähivõitluses.']","[('___ on ühe- või mitmeteraline löögi- ja torkerelv, mida kasutati tavaliselt lähivõitluses.', ('mõõk',))]","[('___ on ühe- või mitmeteraline löögi- ja torkerelv, mida kasutati tavaliselt lähivõitluses.', ('mõõk',))]",[]
board,bn:00021015n,"['komitee', 'komisjon']","['Komisjon on alaliselt või ajutiselt moodustatud mitmest isikust koosnev organ, mis on loodud selleks, et täita mingeid ülesandeid või valmistada ette otsustamisele tulevaid küsimusi.']","[('___ on alaliselt või ajutiselt moodustatud mitmest isikust koosnev organ, mis on loodud selleks, et täita mingeid ülesandeid või valmistada ette otsustamisele tulevaid küsimusi.', ('komisjon', 'komitee'))]","[('___ on alaliselt või ajutiselt moodustatud mitmest isikust koosnev organ, mis on loodud selleks, et täita mingeid ülesandeid või valmistada ette otsustamisele tulevaid küsimusi.', ('komisjon', 'komitee'))]",[]
boat,bn:00011674n,['paat'],['Paat on õõnsa ja pealt vähemalt osaliselt avatud kerega ning tavaliselt kajutita lihtsam väiksem veesõiduk.'],"[('___ on õõnsa ja pealt vähemalt osaliselt avatud kerega ning tavaliselt kajutita lihtsam väiksem veesõiduk.', ('paat',))]","[('___ on õõnsa ja pealt vähemalt osaliselt avatud kerega ning tavaliselt kajutita lihtsam väiksem veesõiduk.', ('paat',))]",[]
bone,bn:00011999n,"['kont', 'luu']","['Luud ehk kondid on luukalade, kahepaiksete, roomajate, lindude ja imetajate luustikku kuuluvad kõvad, veidi elastsed, värskes olekus kollakasvalged elundid.']",[],"[('___d ehk kondid on ___kalade, kahepaiksete, roomajate, lindude ja imetajate ___stikku kuuluvad kõvad, veidi elastsed, värskes olekus kollakasvalged elundid.', ('luu', 'kont'))]",[]
book,bn:00012059n,['raamat'],"['Raamat on köidetud kogu teksti või piltidega lehti; ehk ka kogum ühest servast kokku liidetud, tavaliselt ühesuurusi ja ristkülikukujulisi paberilehti, millel asub nähtaval või kombataval kujul märkidest koosnev tekst.']","[('___ on köidetud kogu teksti või piltidega lehti; ehk ka kogum ühest servast kokku liidetud, tavaliselt ühesuurusi ja ristkülikukujulisi paberilehti, millel asub nähtaval või kombataval kujul märkidest koosnev tekst.', ('raamat',))]","[('___ on köidetud kogu teksti või piltidega lehti; ehk ka kogum ühest servast kokku liidetud, tavaliselt ühesuurusi ja ristkülikukujulisi paberilehti, millel asub nähtaval või kombataval kujul märkidest koosnev tekst.', ('raamat',))]",[]
boot,bn:00012166n,"['Saabas', 'saabas']","['Saabas on pika säärega jalanõu.', 'säärega jalavari']","[('___ on pika säärega jalanõu.', ('Saabas',)), ('___ on pika säärega jalanõu.', ('saabas',))]","[('___ on pika säärega jalanõu.', ('Saabas',)), ('___ on pika säärega jalanõu.', ('saabas',))]",['säärega jalavari']
bottle,bn:00012339n,['pudel'],"['Pudel on korgiga suletav anum, mille ülaosa on tunduvalt kitsam kui alaosa.']","[('___ on korgiga suletav anum, mille ülaosa on tunduvalt kitsam kui alaosa.', ('pudel',))]","[('___ on korgiga suletav anum, mille ülaosa on tunduvalt kitsam kui alaosa.', ('pudel',))]",[]
boy,bn:00012569n,['poiss'],"['Poiss ehk poisslaps ehk poeglaps on meessoost laps.', 'Meessoost laps.', 'meessoost laps']","[('___ ehk poisslaps ehk poeglaps on meessoost laps.', ('poiss',))]","[('___ ehk ___laps ehk poeglaps on meessoost laps.', ('poiss',))]","['Meessoost laps.', 'meessoost laps']"
brain,bn:00012681n,"['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim']","['Nous on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', 'Vaim on vaimufilosoofias vaimunähtuste kogum.', 'Psüühika on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.']","[('___ on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.', ('psüühika', 'nous', 'Nous', 'vaim', 'Vaim')), ('___ on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.', ('Psüühika', 'nous', 'Nous', 'vaim', 'Vaim')), ('___ on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', ('nous', 'psüühika', 'Psüühika', 'vaim', 'Vaim')), ('___ on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', ('Nous', 'psüühika', 'Psüühika', 'vaim', 'Vaim')), ('___ on vaimufilosoofias vaimunähtuste kogum.', ('vaim', 'psüühika', 'Psüühika', 'nous', 'Nous')), ('___ on vaimufilosoofias vaimunähtuste kogum.', ('Vaim', 'psüühika', 'Psüühika', 'nous', 'Nous'))]","[('___ on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.', ('psüühika', 'nous', 'Nous', 'vaim', 'Vaim')), ('___ on individuaalsele kogemusele toetuv käitumist organiseerivate protsesside süsteem.', ('Psüühika', 'nous', 'Nous', 'vaim', 'Vaim')), ('___ on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', ('nous', 'psüühika', 'Psüühika', 'vaim', 'Vaim')), ('___ on vanakreeka sõna, mida on muu hulgas filosoofias mitmes tähenduses tarvitatud.', ('Nous', 'psüühika', 'Psüühika', 'vaim', 'Vaim')), ('___ on ___ufilosoofias ___unähtuste kogum.', ('vaim', 'psüühika', 'Psüühika', 'nous', 'Nous')), ('___ on ___ufilosoofias ___unähtuste kogum.', ('Vaim', 'psüühika', 'Psüühika', 'nous', 'Nous'))]",[]
brake,bn:00012710n,"['pidur', 'Pidur']","['Pidur on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.']","[('___ on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.', ('pidur',)), ('___ on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.', ('Pidur',))]","[('___ on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.', ('pidur',)), ('___ on seade, mida kasutatakse liikuva massi kiiruse kiireks vähendamiseks.', ('Pidur',))]",[]
branch,bn:00029676n,"['ökonoomika', 'majandusteadus', 'Poliitiline ökonoomia', 'poliitiline ökonoomia']","['Poliitiline ökonoomia ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', 'Majandusteadus on sotsiaalteadus, mille eesmärk on majandusagentide käitumise ning üldisemas mõttes majandusnähtuste kirjeldamine, mõõtmine, seletamine ning ennustamine.', 'sotsiaalteadus, mille eesmärk on kirjeldada, seletada ja ennustada majandusagentide käitumist ning majandusnähtusi']","[('___ ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', ('Poliitiline ökonoomia', 'majandusteadus', 'ökonoomika')), ('___ ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', ('poliitiline ökonoomia', 'majandusteadus', 'ökonoomika')), ('___ on sotsiaalteadus, mille eesmärk on majandusagentide käitumise ning üldisemas mõttes majandusnähtuste kirjeldamine, mõõtmine, seletamine ning ennustamine.', ('majandusteadus', 'Poliitiline ökonoomia', 'poliitiline ökonoomia', 'ökonoomika'))]","[('___ ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', ('Poliitiline ökonoomia', 'ökonoomika')), ('___ ehk poliitökonoomia on majandusteaduse haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', ('poliitiline ökonoomia', 'ökonoomika')), ('Poliitiline ökonoomia ehk poliitökonoomia on ___e haru, mis mõtestab majandusliku arengu seaduspärasusi lähtudes ühiskonna ajaloolise arengu astmetest ja majanduse analüüsil on vajalik samaaegne ühiskonna analüüs.', ('majandusteadus', 'ökonoomika')), ('___ on sotsiaalteadus, mille eesmärk on majandusagentide käitumise ning üldisemas mõttes majandusnähtuste kirjeldamine, mõõtmine, seletamine ning ennustamine.', ('majandusteadus', 'Poliitiline ökonoomia', 'poliitiline ökonoomia', 'ökonoomika'))]","['sotsiaalteadus, mille eesmärk on kirjeldada, seletada ja ennustada majandusagentide käitumist ning majandusnähtusi']"
brick,bn:00013047n,['tellis'],['Tellis ehk telliskivi on ehitusel kasutatav väike üldiselt risttahukakujuline ehituskivi.'],"[('___ ehk telliskivi on ehitusel kasutatav väike üldiselt risttahukakujuline ehituskivi.', ('tellis',))]","[('___ ehk ___kivi on ehitusel kasutatav väike üldiselt risttahukakujuline ehituskivi.', ('tellis',))]",[]
bridge,bn:00013077n,['sild'],"['Sild on insenertehniline ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse.', 'Ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse']","[('___ on insenertehniline ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse.', ('sild',))]","[('___ on insenertehniline ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse.', ('sild',))]","['Ehitis, mida mööda tee ületab loodusliku või tehisliku takistuse']"
brush,bn:00013489n,"['Hari', 'hari', 'pintsel']","['Hari on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.']","[('___ on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.', ('Hari', 'pintsel')), ('___ on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.', ('hari', 'pintsel'))]","[('___ on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.', ('Hari', 'pintsel')), ('___ on tööriist, mida enamasti kasutatakse puhastamiseks, maalimiseks, juuste ja loomakarvastiku kammimiseks, meigi pealekandmiseks jne.', ('hari', 'pintsel'))]",[]
