word_original,synset,senses,definitions
angle,bn:00004117n,"['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['互为補角，或簡稱互補角（英語：supplementary angles），是幾何中两个角之间的一种关系。', '如果两个角的和是直角（也就是90°），那么称这两个角互为餘角（complementary angles），简称互餘，也可以说其中一个角是另一个角的餘角。', '在幾何學中，对顶角是两个角之间的一种位置关系。', '在几何学中，角（jiǎo）（英語：angle）是由两条有公共端点的射线组成的几何对象。', '几何学对于由两条有公共端点的射线组成的空间的称呼']"
ant,bn:00004458n,"['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['螞蟻，古代又稱馬蟻或馬螘，螞蟻是一種真社会性的昆蟲，属于膜翅目（Hymenoptera）蟻科（Formicidae），膜翅目的其他昆蟲有胡蜂、黃蜂等。', '膜翅目的一科昆虫']"
apple,bn:00005054n,"['苹果', '蘋果']","['苹果树（学名：Malus domestica，英文名：Apple）是蔷薇科苹果亚科苹果属植物，為落叶乔木，在世界上广泛种植。', '日语称“林檎”（リンゴ），源自中國古時對蘋果的稱呼，於《本草纲目》及《食性本草》也有記載，蔷薇科苹果属植物。', '植物，果实是一种水果']"
arch,bn:00005387n,"['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物']",['拱為常見建築结构之一，型態定義為中央上半成圓弧曲線。']
arm,bn:00005704n,"['兵器', '武器', '武装']","['武器又稱兵器，是在暴力冲突中用来增加攻击效果的工具。', '是在暴力衝突中用來增加攻擊效果的工具。', '可用于攻击的工具']"
army,bn:00005732n,"['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['軍事（英語：military），古稱軍務，即軍隊事務，是與一個國家及政權的國防或武裝部隊相關的學問及事務。', '武装力量（英語：Armed forces）意為在政府支持下，一個國家拥有武器与兵力的组织性力量。', '軍隊（英語：military），又稱武装力量（英語：armed forces），是被授權使用致命武力及武器来保護其國家和人民利益的正規武装力量。', '軍隊及準軍事部隊組成的組織', '主要負責備戰工作和作戰的組織']"
baby,bn:00007630n,"['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['李龍基（Lee Lung Kei；1951年－），生于香港；资深实力派歌手及演員，中學時期就讀中華基督教會何福堂書院及已結束辦學的萃華英文書院，酒廊歌手出身；为前無綫電視合約藝員。', '嬰兒是指剛出生的兒童，是人類一生的第一階段。', '方言称毛毛，刚出生的孩子', '不满一岁的小孩儿。']"
bag,bn:00007925n,"['皮包', '手袋', '手提包', '钱包']","['手袋，又稱手提包，是用於盛載個人隨身物品的袋，款式通常是可配襯服裝，因此除了實用之外，也是時尚產品。', '又称手提包，一种跨在手臂或肩膀上的袋子。']"
ball,bn:00008804n,"['棒球', '棒球比赛']","['棒球（英語：Baseball、日韓稱為野球），為一種團體球類運動，由人數最少為9人的两支隊伍在一個扇形的棒球場进行攻擊與守備。', '球類運動，又稱野球']"
band,bn:00008287n,"['指環', '戒指', '指环']","['戒指是一种圓帶狀，可戴在手指上的珠宝首飾，女性和男性均會佩戴，可以由金属、宝石、陶瓷、塑料、木或骨质製造。', '如婚戒、钻戒。']"
