word_original,synset,senses,definitions
angle,bn:00004117n,"['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']","['Een hoek in de meetkunde is een figuur in een vlak gevormd door twee halfrechten, benen van de hoek geheten, met een gemeenschappelijk beginpunt, het hoekpunt.', 'Het woord aanliggend wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een hoek ten opzichte van een ander meetkundig object te beschrijven.', 'Meetkunde', 'Een figuur gevormd door twee lijnen die uitgaan van een gemeenschappelijk punt (een vlakke hoek) of via doorsnijding van drie vlakken (een vaste hoek).']"
ant,bn:00004458n,"['mier', 'mieren']","['Mieren zijn een familie van kolonievormende sociale insecten, die behoren tot de orde vliesvleugeligen.', 'Een groep van vliesvleugelige insecten', 'Familie van insecten uit orde vliesvleugeligen', 'Zwart, rood, bruin of geel insect van de familie Formicidae getypeerd door een grote kop en levend in georganiseerde kolonies.']"
apple,bn:00005054n,"['appelschil', 'appel']","['De appel is de pitvrucht van de plant Malus domestica uit de rozenfamilie.', 'Een vrucht/fruitsoort', 'Soort vrucht, ook de boom die dit fruit draagt', 'De schil van een appel.', 'Het populair, knapperig, ronde fruit van de appelboom, meestal met rode, gele of groene schil, licht gekleurd vlees en pitten.']"
arch,bn:00005387n,['boog'],"['Een boogconstructie is een overspanning in een gebogen vorm, die een vrije constructie oplevert tussen twee steunpunten.', 'Een onderdeel van een bouwwerk.', 'Boogconstructie', 'Bouwkunde', 'Een trapezevormige samenstelling van stenen ontworpen om een naar beneden gerichte  kracht naar buiten te keren.']"
arm,bn:00005704n,"['wapen', 'gevechtswapen', 'strijdmiddel']","['Een gevechtswapen of wapen is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', 'Een stuk gereedschap dat gebruikt wordt om mensen en/of dieren letsel toe te brengen dan wel voorwerpen te beschadigen', 'werktuig\xa0bedoeld om letsel toe te brengen of te beschadigen', 'Een instrument voor aanval of verdediging in de strijd, zoals een vuurwapen, raket, of zwaard.']"
army,bn:00005732n,"['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['Een Krijgsmacht is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke krijgsmacht uit een landleger en/of een vloot.', 'Militaire organisatie ter verdediging van een staat', 'Overheidslichaam met als taak de voorbereiding op en het voeren van oorlog in naam van de burgers']"
baby,bn:00007630n,"['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['Een baby is een kind in de eerste levensfase.', 'Een zuigeling', 'Een erg jong mens, vanaf de geboorte tot een jaar oud.', 'Een klein kind in de eerste jaren van het leven.']"
bag,bn:00007925n,"['tas', 'handtas', 'Handtas', 'tasje']","['Een handtas is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', 'Een voorwerp dat gebruikt wordt om geld in mee te nemen en kleine persoonlijke bezittingen of accessoires (in het bijzonder door vrouwen).']"
ball,bn:00008804n,['honkbal'],"['Honkbal is een team- en balsport die vooral populair is in de Verenigde Staten, Canada, Mexico, de Caraïben en in grote delen van Azië.', 'Een term uit het honkbal', 'Team- en balsport']"
band,bn:00008287n,['ring'],"['Een ring is een sieraad dat men meestal om de vinger draagt.', 'Een sieraad om een vinger', 'Een rond stuk (kostbaar) metaal dat rond de vinger wordt gedragen.']"
basin,bn:00071766n,"['bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']","['Een wastafel of wasbak, in België ook lavabo, is een bak of kom gemaakt van porselein, glas, metaal, natuursteen of kunststof, die is bedoeld om water in op te vangen.', 'Een kom voor het wassen, meestal vastgezet aan een muur.']"
basket,bn:00008872n,"['mand', 'korf']","['Een mand is een gevlochten object, ook wel korf genoemd, soms voorzien van oren of een hengsel om het gemakkelijker te kunnen dragen, dat dient om iets in te doen.', 'recipiënt, meestal gemaakt van gevlochten materiaal', 'Een licht voorwerp om andere voorwerpen in te houden, meestal rond en open aan de bovenkant en smaller naar de onderkant.']"
bath,bn:00008995n,"['wasgelegenheid', 'badkamer', 'badkuip', 'bad']","['Een badkamer is een sanitaire ruimte in een woning, dat wil zeggen een ruimte die speciaal is ingericht voor lichaamsverzorging.', 'ruimte die een bad of douche bevat en meestal een wasbak en een toilet', 'Een ruimte die een bad of douche bevat en meestal een wasbak en een toilet.']"
bed,bn:00009472n,"['bed', 'legerstede', 'sponde', 'bedstede', 'ledikant', 'nest']","['Een bed is een meubelstuk om in te slapen, en bestaat uit een ledikant met daarop een matras met beddengoed, zoals lakens en dekens of een dekbed, een dekbedovertrek en een hoofdkussen.', 'Meubelstuk om in te slapen', 'Een meubel waarop een persoon kan slapen.']"
bee,bn:00009524n,"['bij', 'honingbij', 'imme', 'bijen']","['Bijen zijn een groep van insecten die behoren tot de orde van de vliesvleugeligen.', 'Taxon', 'Elk insect met membraanvleugels dat onderdeel is van de superfamilie Apoidea in de orde Hymenoptera, gekarakteriseerd door een harig lijf en door zuigende en kauwende mondonderdelen.']"
