fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['किताब', 'पुस्तक']",['libro'],book
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['बादल', 'अभ्र', 'मेघ']","['nube', 'nuvola', 'nembo']",cloud
"['sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумка', 'паке́т', 'кулёк', 'Бумажный пакет', 'су́мка', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['sack', 'bag', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['袋', '鞄', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['Kott', 'Paberkott', 'kott', 'kilekott']","['laukku', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'zak', 'papieren tas', 'buil']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले']","['sacchetto', 'sacco', 'borsa', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']",bag
['montagne'],['Berg'],['гора'],"['mountain', 'mount']","['山', '山脉', '高山', '大山']","['montaña', 'monte']","['山岳', '山']",['산'],['mägi'],['vuori'],['berg'],"['पर्वत', 'पहाड़']","['montagna', 'monte']",mountain
"['fringue', 'vêtements', 'habit', 'vêtement', 'habillement', 'habits', 'fringues', 'tenue', 'textile', 'étoffe', 'tissu']","['Bekleidung', 'Kleider', 'Gewandung', 'Kleidungsstück', 'Kleidung', 'Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['одежда', 'предмет одежды', 'костю́м', 'одея́ние', 'материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['clothes', 'thing', 'things', 'garments', 'garment', 'apparel', 'raiment', 'clothing', 'wearable', 'article of clothing', 'wear', 'habiliment', 'vesture', 'fabric', 'cloth', 'textile', 'material']","['衣服', '服装', '紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物']","['ropa', 'prenda', 'vestuario', 'indumentaria', 'traje', 'vestimenta', 'atavío', 'vestido', 'habiliment', 'textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']","['衣類', '被服', '布', '織物']","['옷', '직물', '옷감']","['riietus', 'Riietus', 'tekstiil', 'riie', 'kangas']","['vaatetus', 'vaatteet', 'vaatekappale', 'vaate', 'vaatetavara', 'asu', 'puku', 'tekstiili', 'kangas', 'kudos', 'materiaali']","['kledij', 'kledingstuk', 'kleren', 'kleding', 'goed', 'textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'परिधान', 'वस्त्र']","['vestiti', 'vestiario', 'abbigliamento', 'indumento', 'vestito', 'abito', 'vestire', 'abiti', 'veste', 'prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']",cloth
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia']","['Herz', 'Philia', 'Affektion', 'Zuneigung']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid']","['दिल', 'हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'क़ल्ब']","['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore']",heart
"['main', 'patte', 'bras', 'arrière-bras', 'membre supérieur libre']","['Hand', 'Arm', 'Oberarm', 'Hinterarm', 'freie obere Extremität']","['рука', 'кисть', 'свободная верхняя конечность', 'плечо', 'плечо́', 'рука за исключением запястья']","['hand', 'manus', 'mitt', 'paw', 'Manus', 'arm', 'upper arm', 'free upper limb']","['手', '前足', '前肢骨', '手臂', '臂', '大臂', '上臂', '肱', '胳膊', '胳臂', '臂膀']","['mano', 'palma', 'zarpa', 'manus', 'pata', 'brazo', 'brazo y mano', 'braco', 'jarrete', 'braceto']","['手', 'マヌス', '腕', '二の腕', '上腕', '上膊', '自由上肢']","['손', '팔']","['labakäsi', 'käsivars', 'käsi', 'Käsivars', 'Õlavars', 'õlavars']","['käsi', 'jalka', 'käpälä', 'manus', 'olkavarsi', 'käsivarsi', 'Olkavarsi']","['klauw', 'hand', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken', 'arm', 'opperarm', 'bovenarm']","['हाथ', 'बाज़ू', 'बांह', 'बाँह']","['mano', 'braccio', 'arto superiore libero', 'arto superiore']",hand
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']",['दिन'],"['giorno', ""ventiquattr'ore""]",day
"['étoile', 'pupille', 'prunelle']","['Stern', 'Sonne', 'Fixstern', 'Pupille', 'das Schwarze im Auge', 'Sehloch']","['звезда', 'звезда́', 'зрачок', 'зрачо́к', 'зени́ца']","['star', 'pupil']","['星', '恒星', '恆星', '母恒星', '瞳孔', '瞳子']","['estrella', 'astro', 'pupila']","['恒星', '星', '母恒星', '瞳孔', '瞳']","['별', '항성', '외계 행성 주인별', '눈동자']","['täht', 'silmaava', 'Silmaava']","['tähti', 'kiintotähti', 'pupilli', 'mustuainen', 'silmäterä']","['zon', 'ster', 'sterretje', 'pupil']",['तारा'],"['stella', 'astro', 'sole', 'pupilla']",star
"['source', 'printemps', 'ressort']","['Quelle', 'Frühjahr', 'Frühling', 'Lenz', 'Feder', 'Sprungfeder']","['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник', 'весна', 'весна́', 'весеннее вре́мя года', 'весе́нний сезо́н', 'пружина', 'пружи́на', 'рессо́ра']","['spring', 'outpouring', 'outflow', 'fountain', 'natural spring', 'springtime']","['源泉', '泉', '泉水', '喷泉', '春天', '春', '春季', '彈簧', '弹簧', '發條', '发条']","['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación', 'primavera', 'resorte', 'muelle']","['泉', '湧水', '温泉', '春', 'スプリング', 'バネ', '発条', 'ばね']","['샘터', '샘', '봄', '출렁쇠', '용수철']","['allikas', 'läte', 'veesilm', 'kevad', 'vedru', 'Vedru']","['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde', 'kevät', 'keväin', 'jousi', 'vieteri', 'joustin']","['bron', 'wel', 'fontein', 'voorjaar', 'lente', 'lentetijd', 'veer']","['वसंत', 'पानी का चश्मा', 'चश्मा', 'बसंत', 'बहार', 'वसन्त ऋतु', 'कमानी']","['sorgente', 'fonte', 'polla', 'scaturigine', 'primavera', 'vere', 'molla']",spring
