word_original,synset,senses,definitions
angle,bn:00004117n,"['Winkel', 'Supplementwinkel']","['Ein Winkel ist in der Geometrie ein Teil der Ebene, der von zwei in der Ebene liegenden Strahlen mit gemeinsamem Anfangspunkt begrenzt wird.', 'Abwinkelung', 'Mathematische Größe in der Geometrie']"
ant,bn:00004458n,"['Ameise', 'Ameisen']","['Ameisen sind eine Familie der Insekten innerhalb der Ordnung der Hautflügler.', 'Familie der Ordnung Hautflügler', 'Schwarzes, rotes, braunes oder gelbes Insekt aus der Familie der Formicidae, das durch einen großen Kopf gekennzeichnet ist und das in organisierten Kolonien lebt.']"
apple,bn:00005054n,"['Apfel', 'Apfelschale']","['Frucht des Apfelbaumes', 'Schale eines Apfels.', 'Die beliebte, runde Frucht des Apfelbaums, mit gewöhnlich roter, gelber oder grüner Haut und hellem Fruchtfleisch und Kernen im Inneren.']"
arch,bn:00005387n,['Bogen'],"['Als Bogen bezeichnet man in der Architektur ein Bauelement zum Überbrücken von Öffnungen im Mauerwerk.', 'Die gewölbte Überspannung von Öffnungen', 'Gewölbte Überspannung von Öffnungen']"
arm,bn:00005704n,"['Waffe', 'Arm']","['Waffe ist ein Oberbegriff zur Waffen-Typologie und für Legaldefinitionen.', 'Gegenstand, der dazu bestimmt oder geeignet ist, zu verletzen oder zu beschädigen', 'Ein Gerät, das im Gefecht zum Angreifen oder Verteidigen dient, zum Beispiel ein Schwert, ein Gewehr oder eine Rakete.']"
army,bn:00005732n,"['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['Als Militär, mitunter semantisch ungenau mit Streitmacht oder Streitkräfte gleichgesetzt, werden die mit Kriegswaffen ausgestatteten Träger der Staatsgewalt bezeichnet, die vorwiegend hoheitlich mit der Gewährleistung der äußeren Sicherheit betraut sind und oft auch zum Erreichen weiterer politischer Ziele eingesetzt werden.', 'Streitkräfte ist die Bezeichnung für eine spezifische Organisation von bewaffneten Menschen, die in Staaten speziell zur Durchführung des bewaffneten Kampfes aufgestellt, ausgerüstet, ausgebildet und geführt wird.', 'Durch den Staat finanzierte Angriffs- und Verteidigungskräfte eines Landes', 'Soldaten, bewaffnete Verbände eines Staates oder eines Bündnisses']"
baby,bn:00007630n,"['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['Als Säugling oder Baby bezeichnet man ein Kind im ersten Lebensjahr.', 'Sehr junger Mensch, von der Geburt bis etwa zum Alter von einem Jahr.']"
bag,bn:00007925n,['Handtasche'],['Die Handtasche ist eine in der Hand oder mittels Henkel am Arm oder über der Schulter zu tragende Tasche zum Mitführen persönlicher Gegenstände.']
ball,bn:00008804n,['Baseball'],"['Baseball ist ein Schlagballspiel mit zwei Mannschaften.', 'Siehe Pitching Machine']"
band,bn:00008287n,"['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['Der Ring zählt zu den bekanntesten Schmuckformen.', 'Kleiner Schmuckgegenstand', 'Reifenförmiger Gegenstand aus Edelmetall, der am Finger getragen wird.']"
