word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Deux angles sont dits supplémentaires si la somme de leur mesure fait 180 degrés.', 'Deux angles sont dits angles complémentaires lorsque leur somme fait 90 degrés.', ""En géométrie, deux angles sont dits angles opposés par le sommet si : ils ont le même sommet ils sont formés par deux droites sécantes les côtés de l'un sont les prolongements des côtés de l'autre."", ""En géométrie, la notion générale d'angle se décline en plusieurs concepts."", 'En géométrie, trois demi-droites du plan ayant même origine forment deux angles adjacents.', 'Sujet math', 'Propriété géométrique', ""Figure formée par deux rayons qui naissent au même point (un angle plan) ou par l'intersection de trois plans (un angle solide).""]","[(""En géométrie, deux angles sont dits ___ si : ils ont le même sommet ils sont formés par deux droites sécantes les côtés de l'un sont les prolongements des côtés de l'autre."", ('angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents', 'angle')), (""Figure formée par deux rayons qui naissent au même point (un ___ plan) ou par l'intersection de trois plans (un ___ solide)."", ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents')), ('En géométrie, trois demi-droites du plan ayant même origine forment deux ___.', ('angles adjacents', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angle')), ('Deux angles sont dits ___ lorsque leur somme fait 90 degrés.', ('angles complémentaires', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angle')), (""En géométrie, la notion générale d'___ se décline en plusieurs concepts."", ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents'))]","[(""En géométrie, deux angles sont dits ___ si : ils ont le même sommet ils sont formés par deux droites sécantes les côtés de l'un sont les prolongements des côtés de l'autre."", ('angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents')), (""En géométrie, deux ___s sont dits ___s opposés par le sommet si : ils ont le même sommet ils sont formés par deux droites sécantes les côtés de l'un sont les prolongements des côtés de l'autre."", ('angle', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents')), (""Figure formée par deux rayons qui naissent au même point (un ___ plan) ou par l'intersection de trois plans (un ___ solide)."", ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents')), ('En géométrie, trois demi-droites du plan ayant même origine forment deux ___.', ('angles adjacents', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires')), ('En géométrie, trois demi-droites du plan ayant même origine forment deux ___s adjacents.', ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires')), ('Deux ___s sont dits supplémentaires si la somme de leur mesure fait 180 degrés.', ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents')), ('Deux angles sont dits ___ lorsque leur somme fait 90 degrés.', ('angles complémentaires', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents')), ('Deux ___s sont dits ___s complémentaires lorsque leur somme fait 90 degrés.', ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents')), (""En géométrie, la notion générale d'___ se décline en plusieurs concepts."", ('angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles complémentaires', 'angles adjacents'))]","['Propriété géométrique', 'Sujet math']"
ant,bn:00004458n,"['fourmi', 'Formicidae']","['Les fourmis sont des insectes hyménoptères du sous-ordre des Apocrites, qui constituent la famille des Formicidés.', ""Famille d'insectes"", 'Insecte noir, rouge, marron ou jaune de la famille Formicidae, caractérisé par une tête volumineuse et vivant dans des colonies organisées.']","[('Insecte noir, rouge, marron ou jaune de la famille ___, caractérisé par une tête volumineuse et vivant dans des colonies organisées.', ('Formicidae', 'fourmi'))]","[('Insecte noir, rouge, marron ou jaune de la famille ___, caractérisé par une tête volumineuse et vivant dans des colonies organisées.', ('Formicidae', 'fourmi')), ('Les ___s sont des insectes hyménoptères du sous-ordre des Apocrites, qui constituent la famille des Formicidés.', ('fourmi', 'Formicidae'))]","[""Famille d'insectes""]"
apple,bn:00005054n,"['peau de pomme', 'pomme']","['La pomme est un fruit comestible produit par un pommier.', 'Fruit du pommier', 'Fruit du pommier', ""Le fruit rond, croquant et populaire du pommier, comportant une peau généralement rouge, jaune ou verte, une chair pâle et des pépins à l'intérieur.""]","[('La ___ est un fruit comestible produit par un pommier.', ('pomme', 'peau de pomme'))]","[('La ___ est un fruit comestible produit par un pommier.', ('pomme', 'peau de pomme'))]","[""Le fruit rond, croquant et populaire du pommier, comportant une peau généralement rouge, jaune ou verte, une chair pâle et des pépins à l'intérieur."", 'Fruit du pommier']"
arch,bn:00005387n,['arc'],"[""L’arc est l'élément d'ossature de directrice courbe ou polygonale, qui enjambe l'espace ouvert entre deux piliers ou murs en transmettant toute la charge qu'il supporte aux appuis, moyennant une force oblique dénommée « poussée »."", ""Une structure de pierres appareillées formant une courbe et reposant sur deux supports, qu'il ne faut pas confondre avec une voûte, qui est une surface couvrant un espace."", 'Assemblage architectural en forme de courbe', ""Arrangement de pierres trapezoïdales en forme d'arc, fait pour redistribuer la force verticale vers l'extérieur.""]","[(""L’___ est l'élément d'ossature de directrice courbe ou polygonale, qui enjambe l'espace ouvert entre deux piliers ou murs en transmettant toute la charge qu'il supporte aux appuis, moyennant une force oblique dénommée « poussée »."", ('arc',)), (""Arrangement de pierres trapezoïdales en forme d'___, fait pour redistribuer la force verticale vers l'extérieur."", ('arc',))]","[(""L’___ est l'élément d'ossature de directrice courbe ou polygonale, qui enjambe l'espace ouvert entre deux piliers ou murs en transmettant toute la charge qu'il supporte aux appuis, moyennant une force oblique dénommée « poussée »."", ('arc',)), (""Arrangement de pierres trapezoïdales en forme d'___, fait pour redistribuer la force verticale vers l'extérieur."", ('arc',)), ('Assemblage ___hitectural en forme de courbe', ('arc',))]","[""Une structure de pierres appareillées formant une courbe et reposant sur deux supports, qu'il ne faut pas confondre avec une voûte, qui est une surface couvrant un espace.""]"
arm,bn:00005704n,['arme'],"['Une arme est un outil ou un dispositif autonome ou un organisme destiné dans sa conception ou dans son utilisation à neutraliser, à blesser ou à tuer un être vivant, ou à causer une destruction matérielle.', 'Un objet, machine, explosif destiné à tuer ou à blesser un être vivant ou bien destiné à causer une destruction matérielle.', 'Dispositif destiné à neutraliser, blesser ou tuer un être vivant, ou à causer une destruction matérielle', ""Un instrument d'attaque ou de défense pour le combat, comme un pistolet, un missile, ou une épée.""]","[('Une ___ est un outil ou un dispositif autonome ou un organisme destiné dans sa conception ou dans son utilisation à neutraliser, à blesser ou à tuer un être vivant, ou à causer une destruction matérielle.', ('arme',))]","[('Une ___ est un outil ou un dispositif autonome ou un organisme destiné dans sa conception ou dans son utilisation à neutraliser, à blesser ou à tuer un être vivant, ou à causer une destruction matérielle.', ('arme',))]","['Un objet, machine, explosif destiné à tuer ou à blesser un être vivant ou bien destiné à causer une destruction matérielle.', 'Dispositif destiné à neutraliser, blesser ou tuer un être vivant, ou à causer une destruction matérielle', ""Un instrument d'attaque ou de défense pour le combat, comme un pistolet, un missile, ou une épée.""]"
army,bn:00005732n,"['forces armées', 'armée', 'machine de guerre', 'troupes']","[""Une armée est une organisation structurée d'individus armés visant à conquérir ou à défendre un territoire, détruire ou protéger d'autres unités militaires ou des unités civiles."", ""Les forces armées sont les différentes organisations et moyens militaires qu'un État consacre à la mise en œuvre de sa politique de défense."", ""Une organisation structurée d'hommes et de femmes armés visant à conquérir ou à défendre un territoire, détruire ou protéger d'autres unités militaires ou des unités civiles."", 'type de organisation armée', ""Groupe armé agissant au nom d'une société""]","[(""Une ___ est une organisation structurée d'individus armés visant à conquérir ou à défendre un territoire, détruire ou protéger d'autres unités militaires ou des unités civiles."", ('armée', 'machine de guerre', 'forces armées', 'troupes')), (""Les ___ sont les différentes organisations et moyens militaires qu'un État consacre à la mise en œuvre de sa politique de défense."", ('forces armées', 'machine de guerre', 'troupes', 'armée')), ('type de organisation ___', ('armée', 'machine de guerre', 'forces armées', 'troupes'))]","[(""Une ___ est une organisation structurée d'individus armés visant à conquérir ou à défendre un territoire, détruire ou protéger d'autres unités militaires ou des unités civiles."", ('armée', 'machine de guerre', 'forces armées', 'troupes')), (""Les ___ sont les différentes organisations et moyens militaires qu'un État consacre à la mise en œuvre de sa politique de défense."", ('forces armées', 'machine de guerre', 'troupes')), (""Les forces ___s sont les différentes organisations et moyens militaires qu'un État consacre à la mise en œuvre de sa politique de défense."", ('armée', 'machine de guerre', 'troupes')), ('type de organisation ___', ('armée', 'machine de guerre', 'forces armées', 'troupes'))]","[""Une organisation structurée d'hommes et de femmes armés visant à conquérir ou à défendre un territoire, détruire ou protéger d'autres unités militaires ou des unités civiles."", ""Groupe armé agissant au nom d'une société""]"
baby,bn:00007630n,"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","[""Un nourrisson est un enfant en bas âge, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ""Très jeune être humain, de la naissance à l'âge d'environ un an."", 'Jeune enfant dans les premières années de sa vie.']","[(""Un nourrisson est un ___, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('enfant en bas âge', 'nourisson', 'poupon', 'bébé')), (""Un ___ est un enfant en bas âge, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('nourrisson', 'nourisson', 'poupon', 'bébé')), (""Un nourrisson est un ___ en bas âge, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('enfant', 'nourisson', 'poupon', 'bébé')), ('Jeune ___ dans les premières années de sa vie.', ('enfant', 'enfant en bas âge', 'nourrisson', 'nourisson', 'poupon', 'bébé'))]","[(""Un nourrisson est un ___, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('enfant en bas âge', 'nourisson', 'poupon', 'bébé')), (""Un ___ est un enfant en bas âge, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('nourrisson', 'nourisson', 'poupon', 'bébé')), (""Un nourrisson est un ___ en bas âge, notamment lorsqu'il n'a pas encore été sevré du lait maternel, l'étymologie du terme renvoyant directement au fait qu'il « a besoin d'être nourri »."", ('enfant', 'nourisson', 'poupon', 'bébé')), ('Jeune ___ dans les premières années de sa vie.', ('enfant', 'enfant en bas âge', 'nourrisson', 'nourisson', 'poupon', 'bébé'))]","[""Très jeune être humain, de la naissance à l'âge d'environ un an.""]"
bag,bn:00007925n,"['sac à main', 'porte-monnaie']","['Un sac à main, aussi appelé une sacoche en français canadien, est un accessoire de mode qui permet de ranger des objets utiles au quotidien, comme les clés, le portable, l’agenda, le portefeuille, le maquillage, etc. Bien plus qu’un objet utilitaire, il est aussi un compagnon intime qui révèle la personnalité d’une personne.', ""Objet utilisé pour transporter l'argent et les accessoires et autres petits objets ""]","[('Un ___, aussi appelé une sacoche en français canadien, est un accessoire de mode qui permet de ranger des objets utiles au quotidien, comme les clés, le portable, l’agenda, le portefeuille, le maquillage, etc. Bien plus qu’un objet utilitaire, il est aussi un compagnon intime qui révèle la personnalité d’une personne.', ('sac à main', 'porte-monnaie'))]","[('Un ___, aussi appelé une sacoche en français canadien, est un accessoire de mode qui permet de ranger des objets utiles au quotidien, comme les clés, le portable, l’agenda, le portefeuille, le maquillage, etc. Bien plus qu’un objet utilitaire, il est aussi un compagnon intime qui révèle la personnalité d’une personne.', ('sac à main', 'porte-monnaie'))]","[""Objet utilisé pour transporter l'argent et les accessoires et autres petits objets ""]"
ball,bn:00008804n,['baseball'],"['Le baseball est un sport collectif dérivé des mêmes racines que le cricket, qui se pratique sur un terrain de gazon et de sable.', 'Le sport de balle et de batte.', 'Sport avec une batte et une balle qui se joue entre deux équipes de neuf joueurs.']","[('Le ___ est un sport collectif dérivé des mêmes racines que le cricket, qui se pratique sur un terrain de gazon et de sable.', ('baseball',))]","[('Le ___ est un sport collectif dérivé des mêmes racines que le cricket, qui se pratique sur un terrain de gazon et de sable.', ('baseball',))]","['Sport avec une batte et une balle qui se joue entre deux équipes de neuf joueurs.', 'Le sport de balle et de batte.']"
band,bn:00008287n,"['anneau', 'bague']","[""Une bague est un bijou qui se porte généralement au doigt en forme d'anneau, plus ou moins large, serti ou non de pierres et quelquefois gravé."", 'Un ornement enfilé généralement sur les doigts.', 'Parure annulaire, portée au doigt', 'Un morceau de métal (précieux) circulaire porté autour du doigt.']","[(""Une bague est un bijou qui se porte généralement au doigt en forme d'___, plus ou moins large, serti ou non de pierres et quelquefois gravé."", ('anneau',)), (""Une ___ est un bijou qui se porte généralement au doigt en forme d'anneau, plus ou moins large, serti ou non de pierres et quelquefois gravé."", ('bague',))]","[(""Une bague est un bijou qui se porte généralement au doigt en forme d'___, plus ou moins large, serti ou non de pierres et quelquefois gravé."", ('anneau',)), (""Une ___ est un bijou qui se porte généralement au doigt en forme d'anneau, plus ou moins large, serti ou non de pierres et quelquefois gravé."", ('bague',))]","['Un morceau de métal (précieux) circulaire porté autour du doigt.', 'Un ornement enfilé généralement sur les doigts.', 'Parure annulaire, portée au doigt']"
