word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['角', '角度']","['角度（かくど、英: measure of angle, angle, plane angle ）とは、角（かく、英: angle）の大きさを表す量・測度のことである。', '角の大きさを表す量・測度']","[('___（かくど、英: measure of angle, angle, plane angle ）とは、角（かく、英: angle）の大きさを表す量・測度のことである。', ('角度',)), ('角度（かくど、英: measure of angle, angle, plane angle ）とは、___（かく、英: angle）の大きさを表す量・測度のことである。', ('角',))]","[('___（かくど、英: measure of angle, angle, plane angle ）とは、角（かく、英: angle）の大きさを表す量・測度のことである。', ('角度',)), ('___度（かくど、英: measure of angle, angle, plane angle ）とは、___（かく、英: angle）の大きさを表す量・測度のことである。', ('角',)), ('___の大きさを表す量・測度', ('角', '角度'))]",[]
ant,bn:00004458n,"['蟻', 'アリ']","['アリ（蟻、螘）は、ハチ目アリ上科アリ科（Formicidae）に属する昆虫の総称である。', '膜翅目アリ科の昆虫']","[('___（蟻、螘）は、ハチ目アリ上科アリ科（Formicidae）に属する昆虫の総称である。', ('アリ',)), ('アリ（___、螘）は、ハチ目アリ上科アリ科（Formicidae）に属する昆虫の総称である。', ('蟻',))]","[('___（蟻、螘）は、ハチ目アリ上科アリ科（Formicidae）に属する昆虫の総称である。', ('アリ',)), ('アリ（___、螘）は、ハチ目アリ上科アリ科（Formicidae）に属する昆虫の総称である。', ('蟻',))]",['膜翅目アリ科の昆虫']
apple,bn:00005054n,"['林檎', 'リンゴ']","['皮は赤や黄や緑、果肉は白っぽくぱりぱりしていて味は甘いものから酸っぱいものまである果物', 'リンゴ（林檎、学名：Malus domestica, Malus pumila）は、バラ科リンゴ属の落葉高木、またはその果実のこと。', 'バラ科リンゴ属の落葉高木樹、またはその果実']","[('___（林檎、学名：Malus domestica, Malus pumila）は、バラ科リンゴ属の落葉高木、またはその果実のこと。', ('リンゴ',)), ('リンゴ（___、学名：Malus domestica, Malus pumila）は、バラ科リンゴ属の落葉高木、またはその果実のこと。', ('林檎',))]","[('___（林檎、学名：Malus domestica, Malus pumila）は、バラ科リンゴ属の落葉高木、またはその果実のこと。', ('リンゴ',)), ('リンゴ（___、学名：Malus domestica, Malus pumila）は、バラ科リンゴ属の落葉高木、またはその果実のこと。', ('林檎',))]","['皮は赤や黄や緑、果肉は白っぽくぱりぱりしていて味は甘いものから酸っぱいものまである果物', 'バラ科リンゴ属の落葉高木樹、またはその果実']"
arch,bn:00005387n,['アーチ'],"['通路の上にかかり、上部の重量を支えている（通例カーブした）石造構造', 'アーチ（英: arch）とは、下に開口部を設ける機能と支持体としての機能を備えた、典型的には曲線的な部分のこと。']","[('___（英: arch）とは、下に開口部を設ける機能と支持体としての機能を備えた、典型的には曲線的な部分のこと。', ('アーチ',))]","[('___（英: arch）とは、下に開口部を設ける機能と支持体としての機能を備えた、典型的には曲線的な部分のこと。', ('アーチ',))]",['通路の上にかかり、上部の重量を支えている（通例カーブした）石造構造']
arm,bn:00005704n,"['武器', '兵器']","['戦いまたは狩猟に使われる機材または道具', '武器（ぶき、英: weapon, arms、ラテン語: arma アルマ）は、戦闘に用いる道具や器具の総称である。']","[('___（ぶき、英: weapon, arms、ラテン語: arma アルマ）は、戦闘に用いる道具や器具の総称である。', ('武器', '兵器'))]","[('___（ぶき、英: weapon, arms、ラテン語: arma アルマ）は、戦闘に用いる道具や器具の総称である。', ('武器', '兵器'))]",['戦いまたは狩猟に使われる機材または道具']
army,bn:00005732n,"['軍隊', '軍事', '軍']","['国家の軍事部隊', '軍事（ぐんじ、（英: military affairs、羅: res militaris）とは、戦争・軍人・軍隊などに関する事柄の総称である。.', '軍隊（ぐんたい、英: military force）は、兵器およびそれを扱う兵士からなる、戦闘力を備えた軍人の集団。']","[('___（ぐんじ、（英: military affairs、羅: res militaris）とは、戦争・軍人・軍隊などに関する事柄の総称である。.', ('軍事', '軍隊', '軍')), ('___（ぐんたい、英: military force）は、兵器およびそれを扱う兵士からなる、戦闘力を備えた軍人の集団。', ('軍隊', '軍事', '軍'))]","[('軍事（ぐんじ、（英: military affairs、羅: res militaris）とは、戦争・軍人・___などに関する事柄の総称である。.', ('軍隊',)), ('___（ぐんじ、（英: military affairs、羅: res militaris）とは、戦争・軍人・軍隊などに関する事柄の総称である。.', ('軍事',)), ('___事（ぐんじ、（英: military affairs、羅: res militaris）とは、戦争・___人・___隊などに関する事柄の総称である。.', ('軍',)), ('___（ぐんたい、英: military force）は、兵器およびそれを扱う兵士からなる、戦闘力を備えた軍人の集団。', ('軍隊', '軍事')), ('___隊（ぐんたい、英: military force）は、兵器およびそれを扱う兵士からなる、戦闘力を備えた軍人の集団。', ('軍', '軍事'))]",['国家の軍事部隊']
baby,bn:00007630n,"['赤ちゃん', '赤ん坊', '乳児', '幼児']","['非常に年の若く（生後1年までの）、まだ歩いたり話したりできない子供', '天文（てんもん）', '赤ちゃん（あかちゃん）は、産まれたばかりの子供のこと。', '生まれたばかりの子供']","[('___（あかちゃん）は、産まれたばかりの子供のこと。', ('赤ちゃん', '赤ん坊', '乳児', '幼児'))]","[('___（あかちゃん）は、産まれたばかりの子供のこと。', ('赤ちゃん', '赤ん坊', '乳児', '幼児'))]","['非常に年の若く（生後1年までの）、まだ歩いたり話したりできない子供', '生まれたばかりの子供', '天文（てんもん）']"
bag,bn:00007925n,"['ハンドバッグ', '鞄']","['（特に女性が用いる）金や個人用小物、アクセサリなどを運ぶためのバッグ', '鞄（かばん、英: bag バッグ）は、 何かを入れて、閉じてそれを保持したり保管したり運んだりできる、（通常は柔らかな）もの入れのこと。']","[('___（かばん、英: bag バッグ）は、 何かを入れて、閉じてそれを保持したり保管したり運んだりできる、（通常は柔らかな）もの入れのこと。', ('鞄', 'ハンドバッグ'))]","[('___（かばん、英: bag バッグ）は、 何かを入れて、閉じてそれを保持したり保管したり運んだりできる、（通常は柔らかな）もの入れのこと。', ('鞄', 'ハンドバッグ'))]",['（特に女性が用いる）金や個人用小物、アクセサリなどを運ぶためのバッグ']
ball,bn:00008804n,['野球'],"['野球（やきゅう、（英: baseball）は、2つの（基本的には9人編成の）チームが攻撃と守備を交代しながら、各頂点に4つのベースを持つ菱形の区画において得点を競い合うバットとボールを使うスポーツである。', '9または10人で構成された2チームがバットとボールを使用して得点を競い合う球技']","[('___（やきゅう、（英: baseball）は、2つの（基本的には9人編成の）チームが攻撃と守備を交代しながら、各頂点に4つのベースを持つ菱形の区画において得点を競い合うバットとボールを使うスポーツである。', ('野球',))]","[('___（やきゅう、（英: baseball）は、2つの（基本的には9人編成の）チームが攻撃と守備を交代しながら、各頂点に4つのベースを持つ菱形の区画において得点を競い合うバットとボールを使うスポーツである。', ('野球',))]",['9または10人で構成された2チームがバットとボールを使用して得点を競い合う球技']
band,bn:00008287n,['指輪'],"['指につけられる貴金属（しばしば宝石と一緒に）の輪で成る宝石', '指輪・指環（ゆびわ）は、手（まれに足）の指にはめる環状の装飾品。.']","[('___・指環（ゆびわ）は、手（まれに足）の指にはめる環状の装飾品。.', ('指輪',))]","[('___・指環（ゆびわ）は、手（まれに足）の指にはめる環状の装飾品。.', ('指輪',))]",['指につけられる貴金属（しばしば宝石と一緒に）の輪で成る宝石']
