word_original,synset,senses,definitions
angle,bn:00004117n,"['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['Dos ángulos son ángulos suplementarios si suman 180.', 'Los ángulos complementarios son aquellos ángulos cuyas medidas suman 90 ∘ {\\displaystyle 90^{\\circ }} grados sexagesimales, es decir, que si dos ángulos complementarios son a su vez consecutivos, los lados no comunes de estos forman un ángulo recto.', 'En geometría dos ángulos se dicen así nombrados cuando en un ángulo los lados son semirrectas opuestas a los del otro ángulo.', 'En geometría euclidiana, un ángulo es la figura formada por dos semirrectas, llamadas lados, que comparten un punto final común, llamado vértice.', 'Los ángulos consecutivos son aquellos que comparten un único lado común.', 'Ángulos cuya suma de medidas es π radianes o 180º.', 'Ángulos cuya suma de medidas es π/2 radianes o 90º.', 'Ángulos cuyos lados son semirrectas opuestas.', 'Porción del plano comprendida entre dos semirrectas con origen común.', 'Ángulos que tienen un lado y el vértice común.', 'Parte del plano comprendida entre dos semirrectas que tienen el mismo punto de origen o vértical', 'Figura formada por dos rayos que nacen en el mismo punto (un ángulo plano) o por la intersección de tres planos (un ángulo sólido).']"
ant,bn:00004458n,"['hormiga', 'Formicidae', 'formicidae']","['Las hormigas son una familia de insectos eusociales que, como las avispas y las abejas, pertenecen al orden de los himenópteros.', 'Familia de insectos eusociales de la orden de los himenópteros', 'Insecto negro, rojo o marrón de la familia de las formicidas que tienen una cabeza grande característica y viven en colonias organizadas.']"
apple,bn:00005054n,"['cáscara de manzana', 'manzana']","['La manzana o poma[1]\u200b es el fruto comestible de la especie Malus domestica, el manzano común.', 'Fruta carnosa comestible.', 'Fruto comestible del manzano', 'La cáscara de una manzana.', 'Fruta redondeada, proveniente del manzano, generalmente con la piel roja, amarilla o verde, carne de color claro y pepitas en su centro.']"
arch,bn:00005387n,['arco'],"['Arco, del latín arcus, derivado del indoeuropeo arkw,[1]\u200b es el elemento constructivo de directriz en forma curvada o poligonal, que salva el espacio abierto entre dos pilares o muros transmitiendo toda la carga que soporta a los apoyos, mediante una fuerza oblicua que se denomina empuje.', 'Elemento arquitectónico que permite abrir vanos en una construcción.', 'Elemento arquitectónico', 'Arreglo de piedras de forma trapezoidal posicionadas con la forma de un arco que redistribuye hacia abajo la fuerzas que van en otras direcciones.']"
arm,bn:00005704n,['arma'],"['Un arma es una herramienta para la caza y la autodefensa, y puede ser utilizada contra seres humanos en tareas de ataque, defensa y destrucción de fuerzas o instalaciones enemigas, o simplemente como una efectiva amenaza.', 'Herramienta o artefacto cuyo fin primario es la caza y la autodefensa.', 'Herramienta destinada a neutralizar o dañar a un ser vivo', 'Instrumento de ataque o defensa en combate, como un arma de fuego, un misil o una espada.']"
army,bn:00005732n,"['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['El ejército, en sentido general, es el nombre en español que reciben las instituciones encargadas de las acciones bélicas de un Estado.', 'Las fuerzas armadas', 'Conjunto de ejércitos y fuerzas policiales de un país', 'Fuerza fuertemente armada y altamente organizada destinada principalmente a la guerra', 'Grupo organizado de personas que ejercen el poder con el fin de mantener o tomar el control de otras personas, tal como una fuerza militar o policía.']"
baby,bn:00007630n,"['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['Un bebé es un ser humano de una edad todavía muy corta, que no puede hablar ni tampoco caminar.', 'Ser humano de corta edad.', 'Ser humano muy pequeño, de entre el nacimiento y un año.', 'Niño de menos de un año.']"
bag,bn:00007925n,"['bolso', 'cartera', 'bulto', 'bolsa']","['Bolso, bolsa o bolsa de mano es un recipiente útil para transportar un número reducido de objetos de uso frecuente.', 'Objeto utilizado por las mujeres para transportar sus elementos personales. En Argentina, cartera.', 'Objeto utilizado para portar dinero y objetos personales pequeños o accesorios (especialmente por una mujer).']"
ball,bn:00008804n,"['béisbol', 'beisbol', 'baseball']","['El béisbol[2]\u200b, también llamado baseball o juego de pelota, es un deporte de equipo jugado por dos equipos de nueve jugadores cada uno.', 'Deporte de origen estadounidense en el que los equipos compiten para anotar carreras golpeando una pelota lanzada y avanzando alrededor de las bases', 'Deporte con bate y pelota que se juega entre dos equipos usualmente de nueve jugadores cada uno.']"
band,bn:00008287n,"['anillo', 'alianza', 'sortija']","['El anillo, aro o sortija es un aro con más o menos decoración que se utiliza como adorno de los dedos de las manos.', 'Objeto circular hecho de metal precioso que se lleva alrededor de un dedo.']"
basin,bn:00071766n,"['lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['Lavabo, lavatorio o lavamanos es un tipo de recipiente en el que se vierte el agua para el aseo personal.', 'Recipiente donde se vierte agua para aseo personal.', 'Tazón para lavarse, puesto a menudo a una pared.']"
basket,bn:00008872n,"['cesta', 'cesto', 'handbasket']","['La cesta es un recipiente tejido con mimbres, juncos, espartos, ratán u otras plantas, útil para transportar objetos.', 'Cesta, recipiente de mimbre', 'Contenedor ligero, generalmente redondo y abierto en la parte superior.']"
