word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']","['Een hoek in de meetkunde is een figuur in een vlak gevormd door twee halfrechten, benen van de hoek geheten, met een gemeenschappelijk beginpunt, het hoekpunt.', 'Het woord aanliggend wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een hoek ten opzichte van een ander meetkundig object te beschrijven.', 'Meetkunde', 'Een figuur gevormd door twee lijnen die uitgaan van een gemeenschappelijk punt (een vlakke hoek) of via doorsnijding van drie vlakken (een vaste hoek).']","[('Het woord ___ wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een hoek ten opzichte van een ander meetkundig object te beschrijven.', ('aanliggend', 'aanliggende hoek', 'invalshoek')), ('Het woord aanliggend wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een ___ ten opzichte van een ander meetkundig object te beschrijven.', ('hoek', 'aanliggende hoek', 'invalshoek')), ('Een ___ in de meetkunde is een figuur in een vlak gevormd door twee halfrechten, benen van de ___ geheten, met een gemeenschappelijk beginpunt, het hoekpunt.', ('hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek')), ('Een figuur gevormd door twee lijnen die uitgaan van een gemeenschappelijk punt (een vlakke ___) of via doorsnijding van drie vlakken (een vaste ___).', ('hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek'))]","[('Het woord ___ wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een hoek ten opzichte van een ander meetkundig object te beschrijven.', ('aanliggend', 'aanliggende hoek', 'invalshoek')), ('Het woord aanliggend wordt in de meetkunde gebruikt om de positie van een een meetkundig object zoals een ___ ten opzichte van een ander meetkundig object te beschrijven.', ('hoek', 'aanliggende hoek', 'invalshoek')), ('Een ___ in de meetkunde is een figuur in een vlak gevormd door twee halfrechten, benen van de ___ geheten, met een gemeenschappelijk beginpunt, het ___punt.', ('hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek')), ('Een figuur gevormd door twee lijnen die uitgaan van een gemeenschappelijk punt (een vlakke ___) of via doorsnijding van drie vlakken (een vaste ___).', ('hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek'))]",['Meetkunde']
ant,bn:00004458n,"['mier', 'mieren']","['Mieren zijn een familie van kolonievormende sociale insecten, die behoren tot de orde vliesvleugeligen.', 'Een groep van vliesvleugelige insecten', 'Familie van insecten uit orde vliesvleugeligen', 'Zwart, rood, bruin of geel insect van de familie Formicidae getypeerd door een grote kop en levend in georganiseerde kolonies.']","[('___ zijn een familie van kolonievormende sociale insecten, die behoren tot de orde vliesvleugeligen.', ('mieren', 'mier'))]","[('___ zijn een familie van kolonievormende sociale insecten, die behoren tot de orde vliesvleugeligen.', ('mieren',)), ('___en zijn een familie van kolonievormende sociale insecten, die behoren tot de orde vliesvleugeligen.', ('mier',))]","['Zwart, rood, bruin of geel insect van de familie Formicidae getypeerd door een grote kop en levend in georganiseerde kolonies.', 'Familie van insecten uit orde vliesvleugeligen', 'Een groep van vliesvleugelige insecten']"
apple,bn:00005054n,"['appelschil', 'appel']","['De appel is de pitvrucht van de plant Malus domestica uit de rozenfamilie.', 'Een vrucht/fruitsoort', 'Soort vrucht, ook de boom die dit fruit draagt', 'De schil van een appel.', 'Het populair, knapperig, ronde fruit van de appelboom, meestal met rode, gele of groene schil, licht gekleurd vlees en pitten.']","[('De ___ is de pitvrucht van de plant Malus domestica uit de rozenfamilie.', ('appel', 'appelschil')), ('De schil van een ___.', ('appel', 'appelschil'))]","[('Het populair, knapperig, ronde fruit van de ___boom, meestal met rode, gele of groene schil, licht gekleurd vlees en pitten.', ('appel', 'appelschil')), ('De ___ is de pitvrucht van de plant Malus domestica uit de rozenfamilie.', ('appel', 'appelschil')), ('De schil van een ___.', ('appel', 'appelschil'))]","['Soort vrucht, ook de boom die dit fruit draagt', 'Een vrucht/fruitsoort']"
arch,bn:00005387n,['boog'],"['Een boogconstructie is een overspanning in een gebogen vorm, die een vrije constructie oplevert tussen twee steunpunten.', 'Een onderdeel van een bouwwerk.', 'Boogconstructie', 'Bouwkunde', 'Een trapezevormige samenstelling van stenen ontworpen om een naar beneden gerichte  kracht naar buiten te keren.']",[],"[('Een ___constructie is een overspanning in een gebogen vorm, die een vrije constructie oplevert tussen twee steunpunten.', ('boog',)), ('___constructie', ('boog',))]","['Een trapezevormige samenstelling van stenen ontworpen om een naar beneden gerichte  kracht naar buiten te keren.', 'Een onderdeel van een bouwwerk.', 'Bouwkunde']"
arm,bn:00005704n,"['wapen', 'gevechtswapen', 'strijdmiddel']","['Een gevechtswapen of wapen is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', 'Een stuk gereedschap dat gebruikt wordt om mensen en/of dieren letsel toe te brengen dan wel voorwerpen te beschadigen', 'werktuig\xa0bedoeld om letsel toe te brengen of te beschadigen', 'Een instrument voor aanval of verdediging in de strijd, zoals een vuurwapen, raket, of zwaard.']","[('Een ___ of wapen is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', ('gevechtswapen', 'strijdmiddel')), ('Een gevechtswapen of ___ is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', ('wapen', 'strijdmiddel'))]","[('Een ___ of wapen is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', ('gevechtswapen', 'strijdmiddel')), ('Een gevechtswapen of ___ is een werktuig dat gebruikt wordt om mensen, dieren of voorwerpen te verwonden, te beschadigen of te doden.', ('wapen', 'strijdmiddel'))]","['Een stuk gereedschap dat gebruikt wordt om mensen en/of dieren letsel toe te brengen dan wel voorwerpen te beschadigen', 'Een instrument voor aanval of verdediging in de strijd, zoals een vuurwapen, raket, of zwaard.', 'werktuig\xa0bedoeld om letsel toe te brengen of te beschadigen']"
army,bn:00005732n,"['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['Een Krijgsmacht is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke krijgsmacht uit een landleger en/of een vloot.', 'Militaire organisatie ter verdediging van een staat', 'Overheidslichaam met als taak de voorbereiding op en het voeren van oorlog in naam van de burgers']","[('Een ___ is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke ___ uit een landleger en/of een vloot.', ('krijgsmacht', 'landstrijdkrachten', 'strijdkrachten', 'troepenmacht', 'strijdmacht', 'manschappen', 'legerschaar', 'heerschaar', 'weermacht', 'landmacht', 'troepen', 'leger', 'troep', 'armee', 'armée', 'heir')), ('Een Krijgsmacht is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke krijgsmacht uit een ___ en/of een vloot.', ('landleger', 'landstrijdkrachten', 'strijdkrachten', 'troepenmacht', 'strijdmacht', 'manschappen', 'legerschaar', 'heerschaar', 'weermacht', 'landmacht', 'troepen', 'leger', 'troep', 'armee', 'armée', 'heir'))]","[('Een ___ is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke ___ uit een landleger en/of een vloot.', ('krijgsmacht', 'landstrijdkrachten', 'strijdkrachten', 'troepenmacht', 'strijdmacht', 'manschappen', 'legerschaar', 'heerschaar', 'weermacht', 'landmacht', 'troepen', 'leger', 'troep', 'armee', 'armée', 'heir')), ('Een Krijgsmacht is een geheel van door een staat opgerichte gewapende organisaties en ondersteunende voorzieningen ten dienste van de militaire implicaties van het buitenlands beleid.Oorspronkelijk bestond dergelijke krijgsmacht uit een ___ en/of een vloot.', ('landleger', 'landstrijdkrachten', 'strijdkrachten', 'troepenmacht', 'strijdmacht', 'manschappen', 'legerschaar', 'heerschaar', 'weermacht', 'landmacht', 'troepen', 'leger', 'troep', 'armee', 'armée', 'heir'))]","['Overheidslichaam met als taak de voorbereiding op en het voeren van oorlog in naam van de burgers', 'Militaire organisatie ter verdediging van een staat']"
baby,bn:00007630n,"['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['Een baby is een kind in de eerste levensfase.', 'Een zuigeling', 'Een erg jong mens, vanaf de geboorte tot een jaar oud.', 'Een klein kind in de eerste jaren van het leven.']","[('Een ___ is een kind in de eerste levensfase.', ('baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'kindje', 'bébé')), ('Een ___', ('zuigeling', 'kleintje', 'infant', 'kleine', 'kindje', 'baby', 'bébé'))]","[('Een ___ is een kind in de eerste levensfase.', ('baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'kindje', 'bébé')), ('Een ___', ('zuigeling', 'kleintje', 'infant', 'kleine', 'kindje', 'baby', 'bébé'))]","['Een erg jong mens, vanaf de geboorte tot een jaar oud.', 'Een klein kind in de eerste jaren van het leven.']"
bag,bn:00007925n,"['tas', 'handtas', 'Handtas', 'tasje']","['Een handtas is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', 'Een voorwerp dat gebruikt wordt om geld in mee te nemen en kleine persoonlijke bezittingen of accessoires (in het bijzonder door vrouwen).']","[('Een ___ is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', ('handtas', 'tasje')), ('Een ___ is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', ('Handtas', 'tasje')), ('Een handtas is een kleine ___ waarin men zijn dagelijkse spullen kan vervoeren.', ('tas', 'tasje'))]","[('Een ___ is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', ('handtas', 'tasje')), ('Een ___ is een kleine tas waarin men zijn dagelijkse spullen kan vervoeren.', ('Handtas', 'tasje')), ('Een handtas is een kleine ___ waarin men zijn dagelijkse spullen kan vervoeren.', ('tas', 'tasje'))]",['Een voorwerp dat gebruikt wordt om geld in mee te nemen en kleine persoonlijke bezittingen of accessoires (in het bijzonder door vrouwen).']
ball,bn:00008804n,['honkbal'],"['Honkbal is een team- en balsport die vooral populair is in de Verenigde Staten, Canada, Mexico, de Caraïben en in grote delen van Azië.', 'Een term uit het honkbal', 'Team- en balsport']","[('___ is een team- en balsport die vooral populair is in de Verenigde Staten, Canada, Mexico, de Caraïben en in grote delen van Azië.', ('honkbal',)), ('Een term uit het ___', ('honkbal',))]","[('___ is een team- en balsport die vooral populair is in de Verenigde Staten, Canada, Mexico, de Caraïben en in grote delen van Azië.', ('honkbal',)), ('Een term uit het ___', ('honkbal',))]",['Team- en balsport']
band,bn:00008287n,['ring'],"['Een ring is een sieraad dat men meestal om de vinger draagt.', 'Een sieraad om een vinger', 'Een rond stuk (kostbaar) metaal dat rond de vinger wordt gedragen.']","[('Een ___ is een sieraad dat men meestal om de vinger draagt.', ('ring',))]","[('Een ___ is een sieraad dat men meestal om de vinger draagt.', ('ring',))]","['Een rond stuk (kostbaar) metaal dat rond de vinger wordt gedragen.', 'Een sieraad om een vinger']"
